"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","4","0.0-0.0","p004","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","386","0.0-1.0","p004","1","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","14894","0.0-2.0","p004","1","0","","","","","","14508.99999999997","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","18480","0.0-3.0","p004","1","0","","","","","","3584.000000000029","","","[""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png""]","wolf","stims/images/wolf.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","22073","0.0-4.0","p004","1","0","","","","","","245111.85066666667","","","[""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png""]","wolf","","familiar","practice_pretest","familiar","stims/audio/wheres_wolf.wav","5","stims/images/wolf.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","24221","0.0-5.0","p004","1","0","","","","","","2147","","","[""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","squirrel","stims/images/squirrel.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","28351","0.0-6.0","p004","1","0","","","","","","251385.112","","","[""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","squirrel","","familiar","practice_pretest","familiar","stims/audio/find_squirrel.wav","1","stims/images/squirrel.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","30101","0.0-7.0","p004","1","0","","","","","","1749","","","[""stims/images/zebra.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png"",""stims/images/nyala.png"",""stims/images/chameleon.png""]","zebra","stims/images/zebra.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","8","33578","0.0-8.0","p004","1","0","","","","","","256606.23466666669","","","[""stims/images/zebra.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png"",""stims/images/nyala.png"",""stims/images/chameleon.png""]","zebra","","familiar","pretest","1","stims/audio/wheres_zebra.wav","0","stims/images/zebra.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","35204","0.0-9.0","p004","1","0","","","","","","1624.000000000029","","","[""stims/images/chameleon.png"",""stims/images/zebra.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/porcupine.png"",""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/nyala.png""]","porcupine","stims/images/porcupine.png","somewhat familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","10","38588","0.0-10.0","p004","1","0","","","","","","261611.13333333336","","","[""stims/images/chameleon.png"",""stims/images/zebra.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/porcupine.png"",""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/nyala.png""]","porcupine","","somewhat familiar","pretest","1","stims/audio/find_porcupine.wav","4","stims/images/porcupine.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","38765","0.0-11.0","p004","1","0","","","","","","177","","","[""stims/images/nyala.png"",""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/zebra.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/flamingo.png"",""stims/images/chameleon.png""]","chameleon","stims/images/chameleon.png","somewhat unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","12","41624","0.0-12.0","p004","1","0","","","","","","264644.576","","","[""stims/images/nyala.png"",""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/zebra.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/flamingo.png"",""stims/images/chameleon.png""]","chameleon","","somewhat unfamiliar","pretest","1","stims/audio/find_chameleon.wav","7","stims/images/chameleon.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","42225","0.0-13.0","p004","1","0","","","","","","599","","","[""stims/images/flamingo.png"",""stims/images/nyala.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/zebra.png"",""stims/images/elephant.png"",""stims/images/cormorant.png"",""stims/images/lynx.png""]","cormorant","stims/images/cormorant.png","unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","14","50170","0.0-14.0","p004","1","0","","","","","","273187.112","","","[""stims/images/flamingo.png"",""stims/images/nyala.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/zebra.png"",""stims/images/elephant.png"",""stims/images/cormorant.png"",""stims/images/lynx.png""]","cormorant","","unfamiliar","pretest","1","stims/audio/wheres_cormorant.wav","7","stims/images/lynx.png","0","","","","","","","","","","","","",""
"coact-test-prompt","15","51613","0.0-15.0","p004","1","0","","","","","","1442","","","[""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/chameleon.png"",""stims/images/zebra.png"",""stims/images/nyala.png"",""stims/images/flamingo.png""]","elephant","stims/images/elephant.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","16","54542","0.0-16.0","p004","1","0","","","","","","277549.72266666667","","","[""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/chameleon.png"",""stims/images/zebra.png"",""stims/images/nyala.png"",""stims/images/flamingo.png""]","elephant","","familiar","pretest","1","stims/audio/wheres_elephant.wav","3","stims/images/elephant.png","1","","","","","","","","","","","","",""
"coact-test-prompt","17","56511","0.0-17.0","p004","1","0","","","","","","1968","","","[""stims/images/flamingo.png"",""stims/images/chameleon.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/zebra.png"",""stims/images/porcupine.png"",""stims/images/nyala.png"",""stims/images/cormorant.png""]","lynx","stims/images/lynx.png","somewhat unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","18","59618","0.0-18.0","p004","1","0","","","","","","282621.82666666666","","","[""stims/images/flamingo.png"",""stims/images/chameleon.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/zebra.png"",""stims/images/porcupine.png"",""stims/images/nyala.png"",""stims/images/cormorant.png""]","lynx","","somewhat unfamiliar","pretest","1","stims/audio/find_lynx.wav","2","stims/images/lynx.png","1","","","","","","","","","","","","",""
"coact-test-prompt","19","60977","0.0-19.0","p004","1","0","","","","","","1358","","","[""stims/images/flamingo.png"",""stims/images/nyala.png"",""stims/images/elephant.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/chameleon.png"",""stims/images/zebra.png"",""stims/images/cormorant.png""]","nyala","stims/images/nyala.png","unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","20","67462","0.0-20.0","p004","1","0","","","","","","290461.36","","","[""stims/images/flamingo.png"",""stims/images/nyala.png"",""stims/images/elephant.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/chameleon.png"",""stims/images/zebra.png"",""stims/images/cormorant.png""]","nyala","","unfamiliar","pretest","1","stims/audio/wheres_nyala.wav","7","stims/images/cormorant.png","0","","","","","","","","","","","","",""
"coact-test-prompt","21","67649","0.0-21.0","p004","1","0","","","","","","185.9999999999418","","","[""stims/images/nyala.png"",""stims/images/cormorant.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/zebra.png""]","flamingo","stims/images/flamingo.png","somewhat familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","22","71256","0.0-22.0","p004","1","0","","","","","","294249.69066666666","","","[""stims/images/nyala.png"",""stims/images/cormorant.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/zebra.png""]","flamingo","","somewhat familiar","pretest","1","stims/audio/find_flamingo.wav","6","stims/images/flamingo.png","1","","","","","","","","","","","","",""
"html-button-response","23","104048","0.0-23.0","p004","1","0","","","","","","32792","","0","","","","","","","","","","","","","","","","","","","","","","",""
