"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","seed","condition_index","condition_order","condition_vector","condition_name","fam_stims","round_stims","fam_test_index","rt","response"
"pavlovia","0","3","0.0-0.0","p004","init","init","100","0","[0,1,2,3]","[[""active"",""active""],[""passive"",""active""],[""active"",""passive""],[""passive"",""passive""]]","[""active_active"",""passive_active"",""active_passive"",""passive_passive""]","[{""name"":""duck"",""item_type"":""familiar""},{""name"":""cat"",""item_type"":""familiar""},{""name"":""cow"",""item_type"":""familiar""},{""name"":""butterfly"",""item_type"":""familiar""},{""name"":""horse"",""item_type"":""familiar""},{""name"":""frog"",""item_type"":""familiar""},{""name"":""squirrel"",""item_type"":""familiar""},{""name"":""wolf"",""item_type"":""familiar""}]","[[{""name"":""cormorant"",""item_type"":""unfamiliar""},{""name"":""elephant"",""item_type"":""familiar""},{""name"":""porcupine"",""item_type"":""somewhat familiar""},{""name"":""chameleon"",""item_type"":""somewhat unfamiliar""},{""name"":""flamingo"",""item_type"":""somewhat familiar""},{""name"":""lynx"",""item_type"":""somewhat unfamiliar""},{""name"":""zebra"",""item_type"":""familiar""},{""name"":""nyala"",""item_type"":""unfamiliar""}],[{""name"":""sloth"",""item_type"":""somewhat unfamiliar""},{""name"":""wombat"",""item_type"":""unfamiliar""},{""name"":""manatee"",""item_type"":""somewhat unfamiliar""},{""name"":""raccoon"",""item_type"":""somewhat familiar""},{""name"":""bear"",""item_type"":""familiar""},{""name"":""narwhal"",""item_type"":""unfamiliar""},{""name"":""rabbit"",""item_type"":""familiar""},{""name"":""dolphin"",""item_type"":""somewhat familiar""}],[{""name"":""dog"",""item_type"":""familiar""},{""name"":""tarsier"",""item_type"":""unfamiliar""},{""name"":""antelope"",""item_type"":""somewhat unfamiliar""},{""name"":""jaguar"",""item_type"":""somewhat familiar""},{""name"":""koala"",""item_type"":""somewhat familiar""},{""name"":""tiger"",""item_type"":""familiar""},{""name"":""alpaca"",""item_type"":""somewhat unfamiliar""},{""name"":""pangolin"",""item_type"":""unfamiliar""}],[{""name"":""pig"",""item_type"":""familiar""},{""name"":""tapir"",""item_type"":""unfamiliar""},{""name"":""turtle"",""item_type"":""familiar""},{""name"":""lobster"",""item_type"":""somewhat familiar""},{""name"":""hippopotamus"",""item_type"":""somewhat familiar""},{""name"":""echidna"",""item_type"":""unfamiliar""},{""name"":""armadillo"",""item_type"":""somewhat unfamiliar""},{""name"":""aardvark"",""item_type"":""somewhat unfamiliar""}]]","[[7,6],[2,3],[5,0],[1,4]]","",""
"survey-text","1","4068","0.0-1.0","p004","init","init","100","0","[0,1,2,3]","[[""active"",""active""],[""passive"",""active""],[""active"",""passive""],[""passive"",""passive""]]","[""active_active"",""passive_active"",""active_passive"",""passive_passive""]","[{""name"":""duck"",""item_type"":""familiar""},{""name"":""cat"",""item_type"":""familiar""},{""name"":""cow"",""item_type"":""familiar""},{""name"":""butterfly"",""item_type"":""familiar""},{""name"":""horse"",""item_type"":""familiar""},{""name"":""frog"",""item_type"":""familiar""},{""name"":""squirrel"",""item_type"":""familiar""},{""name"":""wolf"",""item_type"":""familiar""}]","[[{""name"":""cormorant"",""item_type"":""unfamiliar""},{""name"":""elephant"",""item_type"":""familiar""},{""name"":""porcupine"",""item_type"":""somewhat familiar""},{""name"":""chameleon"",""item_type"":""somewhat unfamiliar""},{""name"":""flamingo"",""item_type"":""somewhat familiar""},{""name"":""lynx"",""item_type"":""somewhat unfamiliar""},{""name"":""zebra"",""item_type"":""familiar""},{""name"":""nyala"",""item_type"":""unfamiliar""}],[{""name"":""sloth"",""item_type"":""somewhat unfamiliar""},{""name"":""wombat"",""item_type"":""unfamiliar""},{""name"":""manatee"",""item_type"":""somewhat unfamiliar""},{""name"":""raccoon"",""item_type"":""somewhat familiar""},{""name"":""bear"",""item_type"":""familiar""},{""name"":""narwhal"",""item_type"":""unfamiliar""},{""name"":""rabbit"",""item_type"":""familiar""},{""name"":""dolphin"",""item_type"":""somewhat familiar""}],[{""name"":""dog"",""item_type"":""familiar""},{""name"":""tarsier"",""item_type"":""unfamiliar""},{""name"":""antelope"",""item_type"":""somewhat unfamiliar""},{""name"":""jaguar"",""item_type"":""somewhat familiar""},{""name"":""koala"",""item_type"":""somewhat familiar""},{""name"":""tiger"",""item_type"":""familiar""},{""name"":""alpaca"",""item_type"":""somewhat unfamiliar""},{""name"":""pangolin"",""item_type"":""unfamiliar""}],[{""name"":""pig"",""item_type"":""familiar""},{""name"":""tapir"",""item_type"":""unfamiliar""},{""name"":""turtle"",""item_type"":""familiar""},{""name"":""lobster"",""item_type"":""somewhat familiar""},{""name"":""hippopotamus"",""item_type"":""somewhat familiar""},{""name"":""echidna"",""item_type"":""unfamiliar""},{""name"":""armadillo"",""item_type"":""somewhat unfamiliar""},{""name"":""aardvark"",""item_type"":""somewhat unfamiliar""}]]","[[7,6],[2,3],[5,0],[1,4]]","4062","{""condition"":""0"",""seed"":""100""}"
