trial_type,trial_index,time_elapsed,internal_node_id,subject_id,subject,condition,condition_vector,condition_name,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,cur_target,cur_target_image,cur_target_type,round_type,set,test_audio,choice,chosen_image,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,sample_num,chosen_index,chosen_audio,central_images
coact-test,10,51802,0.0-10.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,62063.992,,,"[""stims/images/hippopotamus.png"",""stims/images/tiger.png"",""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/manatee.png""]",tiger,stims/images/tiger.png,familiar,pretest,1,stims/audio/wheres_tiger.wav,1,stims/images/tiger.png,,,,,,,,,,,,
coact-test-prompt,11,53373,0.0-11.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1571,,,"[""stims/images/elephant.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png""]",lobster,stims/images/lobster.png,somewhat familiar,pretest,1,,,,,,,,,,,,,,,
coact-test,12,58351,0.0-12.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,68608.14133,,,"[""stims/images/elephant.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png""]",lobster,stims/images/lobster.png,somewhat familiar,pretest,1,stims/audio/find_lobster.wav,3,stims/images/lobster.png,,,,,,,,,,,,
coact-test-prompt,13,59555,0.0-13.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1202,,,"[""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png"",""stims/images/tiger.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/tarsier.png""]",elephant,stims/images/elephant.png,familiar,pretest,1,,,,,,,,,,,,,,,
coact-test,14,64857,0.0-14.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,75108.96,,,"[""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png"",""stims/images/tiger.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/tarsier.png""]",elephant,stims/images/elephant.png,familiar,pretest,1,stims/audio/find_elephant.wav,1,stims/images/elephant.png,,,,,,,,,,,,
coact-test-prompt,15,66096,0.0-15.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1238,,,"[""stims/images/tiger.png"",""stims/images/hippopotamus.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/pangolin.png""]",hippopotamus,stims/images/hippopotamus.png,somewhat familiar,pretest,1,,,,,,,,,,,,,,,
coact-test,16,71946,0.0-16.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,82191.41867,,,"[""stims/images/tiger.png"",""stims/images/hippopotamus.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/pangolin.png""]",hippopotamus,stims/images/hippopotamus.png,somewhat familiar,pretest,1,stims/audio/wheres_hippopotamus.wav,1,stims/images/hippopotamus.png,,,,,,,,,,,,
coact-test-prompt,17,72916,0.0-17.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,968,,,"[""stims/images/elephant.png"",""stims/images/tiger.png"",""stims/images/manatee.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/hippopotamus.png""]",tarsier,stims/images/tarsier.png,unfamiliar,pretest,1,,,,,,,,,,,,,,,
coact-test,18,78591,0.0-18.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,88829.6,,,"[""stims/images/elephant.png"",""stims/images/tiger.png"",""stims/images/manatee.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/hippopotamus.png""]",tarsier,stims/images/tarsier.png,unfamiliar,pretest,1,stims/audio/find_tarsier.wav,5,stims/images/pangolin.png,,,,,,,,,,,,
coact-test-prompt,19,80008,0.0-19.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1416,,,"[""stims/images/tarsier.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png"",""stims/images/elephant.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/tiger.png""]",antelope,stims/images/antelope.png,somewhat unfamiliar,pretest,1,,,,,,,,,,,,,,,
