trial_type,trial_index,time_elapsed,internal_node_id,subject_id,subject,condition,condition_vector,condition_name,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,cur_target,cur_target_image,cur_target_type,round_type,set,test_audio,choice,chosen_image,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,sample_num,chosen_index,chosen_audio,central_images
coact-test,51,210805,0.0-51.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,220920.6427,,,"[""stims/images/antelope.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/hippopotamus.png""]",antelope,stims/images/antelope.png,somewhat unfamiliar,posttest,1,stims/audio/wheres_antelope.wav,0,stims/images/antelope.png,,,,,,,,,,,,
coact-test-prompt,52,211721,0.0-52.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,915,,,"[""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png"",""stims/images/pangolin.png"",""stims/images/manatee.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/tiger.png""]",hippopotamus,stims/images/hippopotamus.png,somewhat familiar,posttest,1,,,,,,,,,,,,,,,
coact-test,53,218442,0.0-53.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,228550.7947,,,"[""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png"",""stims/images/pangolin.png"",""stims/images/manatee.png"",""stims/images/tarsier.png"",""stims/images/antelope.png"",""stims/images/tiger.png""]",hippopotamus,stims/images/hippopotamus.png,somewhat familiar,posttest,1,stims/audio/wheres_hippopotamus.wav,2,stims/images/hippopotamus.png,,,,,,,,,,,,
coact-test-prompt,54,219730,0.0-54.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1287,,,"[""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/elephant.png""]",manatee,stims/images/manatee.png,somewhat unfamiliar,posttest,1,,,,,,,,,,,,,,,
coact-test,55,224574,0.0-55.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,234675.784,,,"[""stims/images/lobster.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/tarsier.png"",""stims/images/elephant.png""]",manatee,stims/images/manatee.png,somewhat unfamiliar,posttest,1,stims/audio/find_manatee.wav,5,stims/images/antelope.png,,,,,,,,,,,,
coact-test-prompt,56,225941,0.0-56.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1365,,,"[""stims/images/tarsier.png"",""stims/images/lobster.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/hippopotamus.png"",""stims/images/manatee.png"",""stims/images/elephant.png""]",tarsier,stims/images/tarsier.png,unfamiliar,posttest,1,,,,,,,,,,,,,,,
coact-test,57,231325,0.0-57.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,241420.5733,,,"[""stims/images/tarsier.png"",""stims/images/lobster.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/hippopotamus.png"",""stims/images/manatee.png"",""stims/images/elephant.png""]",tarsier,stims/images/tarsier.png,unfamiliar,posttest,1,stims/audio/find_tarsier.wav,0,stims/images/tarsier.png,,,,,,,,,,,,
coact-test-prompt,58,232687,0.0-58.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1362,,,"[""stims/images/elephant.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/hippopotamus.png"",""stims/images/manatee.png"",""stims/images/tiger.png"",""stims/images/antelope.png""]",lobster,stims/images/lobster.png,somewhat familiar,posttest,1,,,,,,,,,,,,,,,
coact-test,59,236706,0.0-59.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,246795.8267,,,"[""stims/images/elephant.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/hippopotamus.png"",""stims/images/manatee.png"",""stims/images/tiger.png"",""stims/images/antelope.png""]",lobster,stims/images/lobster.png,somewhat familiar,posttest,1,stims/audio/wheres_lobster.wav,2,stims/images/lobster.png,,,,,,,,,,,,
coact-test-prompt,60,238063,0.0-60.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1355,,,"[""stims/images/tarsier.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/tiger.png"",""stims/images/antelope.png"",""stims/images/elephant.png""]",pangolin,stims/images/pangolin.png,unfamiliar,posttest,1,,,,,,,,,,,,,,,
coact-test,61,242532,0.0-61.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,252615.4507,,,"[""stims/images/tarsier.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/tiger.png"",""stims/images/antelope.png"",""stims/images/elephant.png""]",pangolin,stims/images/pangolin.png,unfamiliar,posttest,1,stims/audio/find_pangolin.wav,3,stims/images/pangolin.png,,,,,,,,,,,,
coact-test-prompt,62,243676,0.0-62.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1142,,,"[""stims/images/tarsier.png"",""stims/images/hippopotamus.png"",""stims/images/lobster.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/elephant.png"",""stims/images/tiger.png""]",elephant,stims/images/elephant.png,familiar,posttest,1,,,,,,,,,,,,,,,
coact-test,63,247345,0.0-63.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,257422.8373,,,"[""stims/images/tarsier.png"",""stims/images/hippopotamus.png"",""stims/images/lobster.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/pangolin.png"",""stims/images/elephant.png"",""stims/images/tiger.png""]",elephant,stims/images/elephant.png,familiar,posttest,1,stims/audio/wheres_elephant.wav,6,stims/images/elephant.png,,,,,,,,,,,,
coact-test-prompt,64,247751,0.0-64.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,405,,,"[""stims/images/tiger.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/elephant.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/lobster.png"",""stims/images/tarsier.png""]",tiger,stims/images/tiger.png,familiar,posttest,1,,,,,,,,,,,,,,,
coact-test,65,253213,0.0-65.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,263287.7627,,,"[""stims/images/tiger.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/elephant.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/lobster.png"",""stims/images/tarsier.png""]",tiger,stims/images/tiger.png,familiar,posttest,1,stims/audio/find_tiger.wav,0,stims/images/tiger.png,,,,,,,,,,,,
html-button-response,66,301785,0.0-66.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,48573,,0,,,,,,,,,,,,,,,,,,,,,
coact-test-prompt,67,304052,0.0-67.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2266,,,"[""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/wolf.png""]",duck,stims/images/duck.png,familiar,practice_pretest,familiar,,,,,,,,,,,,,,,
coact-test,68,308914,0.0-68.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,318935.4613,,,"[""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/wolf.png""]",duck,stims/images/duck.png,familiar,practice_pretest,familiar,stims/audio/wheres_duck.wav,5,stims/images/duck.png,,,,,,,,,,,,
coact-test-prompt,69,309834,0.0-69.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,920,,,"[""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/butterfly.png""]",cat,stims/images/cat.png,familiar,practice_pretest,familiar,,,,,,,,,,,,,,,
coact-test,70,312964,0.0-70.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,322979.68,,,"[""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/butterfly.png""]",cat,stims/images/cat.png,familiar,practice_pretest,familiar,stims/audio/wheres_cat.wav,4,stims/images/cat.png,,,,,,,,,,,,
coact-test-prompt,71,313491,0.0-71.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,526,,,"[""stims/images/dolphin.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/narwhal.png"",""stims/images/bear.png""]",lynx,stims/images/lynx.png,somewhat unfamiliar,pretest,3,,,,,,,,,,,,,,,
coact-test,72,317269,0.0-72.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,327282.0267,,,"[""stims/images/dolphin.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/narwhal.png"",""stims/images/bear.png""]",lynx,stims/images/lynx.png,somewhat unfamiliar,pretest,3,stims/audio/wheres_lynx.wav,6,stims/images/narwhal.png,,,,,,,,,,,,
coact-test-prompt,73,318124,0.0-73.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,853,,,"[""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/pig.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/dolphin.png"",""stims/images/bear.png""]",pig,stims/images/pig.png,familiar,pretest,3,,,,,,,,,,,,,,,
coact-test,74,327849,0.0-74.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,337857.3893,,,"[""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/pig.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/dolphin.png"",""stims/images/bear.png""]",pig,stims/images/pig.png,familiar,pretest,3,stims/audio/find_pig.wav,2,stims/images/pig.png,,,,,,,,,,,,
coact-test-prompt,75,328564,0.0-75.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,714,,,"[""stims/images/bear.png"",""stims/images/armadillo.png"",""stims/images/dolphin.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/porcupine.png"",""stims/images/wombat.png""]",porcupine,stims/images/porcupine.png,somewhat familiar,pretest,3,,,,,,,,,,,,,,,
coact-test,76,332358,0.0-76.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,342356.9493,,,"[""stims/images/bear.png"",""stims/images/armadillo.png"",""stims/images/dolphin.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/porcupine.png"",""stims/images/wombat.png""]",porcupine,stims/images/porcupine.png,somewhat familiar,pretest,3,stims/audio/wheres_porcupine.wav,6,stims/images/porcupine.png,,,,,,,,,,,,
coact-test-prompt,77,333010,0.0-77.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,652,,,"[""stims/images/dolphin.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/porcupine.png""]",dolphin,stims/images/dolphin.png,somewhat familiar,pretest,3,,,,,,,,,,,,,,,
coact-test,78,336869,0.0-78.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,346863.504,,,"[""stims/images/dolphin.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/porcupine.png""]",dolphin,stims/images/dolphin.png,somewhat familiar,pretest,3,stims/audio/find_dolphin.wav,0,stims/images/dolphin.png,,,,,,,,,,,,
coact-test-prompt,79,337647,0.0-79.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,777,,,"[""stims/images/narwhal.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/dolphin.png"",""stims/images/porcupine.png"",""stims/images/bear.png""]",narwhal,stims/images/narwhal.png,unfamiliar,pretest,3,,,,,,,,,,,,,,,
coact-test,80,342176,0.0-80.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,352165.8667,,,"[""stims/images/narwhal.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/dolphin.png"",""stims/images/porcupine.png"",""stims/images/bear.png""]",narwhal,stims/images/narwhal.png,unfamiliar,pretest,3,stims/audio/find_narwhal.wav,2,stims/images/wombat.png,,,,,,,,,,,,
coact-test-prompt,81,342606,0.0-81.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,429,,,"[""stims/images/lynx.png"",""stims/images/narwhal.png"",""stims/images/porcupine.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/bear.png"",""stims/images/pig.png"",""stims/images/dolphin.png""]",armadillo,stims/images/armadillo.png,somewhat unfamiliar,pretest,3,,,,,,,,,,,,,,,
coact-test,82,349442,0.0-82.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,359426.9067,,,"[""stims/images/lynx.png"",""stims/images/narwhal.png"",""stims/images/porcupine.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/bear.png"",""stims/images/pig.png"",""stims/images/dolphin.png""]",armadillo,stims/images/armadillo.png,somewhat unfamiliar,pretest,3,stims/audio/wheres_armadillo.wav,4,stims/images/wombat.png,,,,,,,,,,,,
coact-test-prompt,83,349713,0.0-83.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,270,,,"[""stims/images/wombat.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/armadillo.png"",""stims/images/bear.png""]",wombat,stims/images/wombat.png,unfamiliar,pretest,3,,,,,,,,,,,,,,,
coact-test,84,356392,0.0-84.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,366370.8,,,"[""stims/images/wombat.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/armadillo.png"",""stims/images/bear.png""]",wombat,stims/images/wombat.png,unfamiliar,pretest,3,stims/audio/wheres_wombat.wav,1,stims/images/porcupine.png,,,,,,,,,,,,
coact-test-prompt,85,357250,0.0-85.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,857,,,"[""stims/images/dolphin.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/armadillo.png"",""stims/images/pig.png"",""stims/images/wombat.png""]",bear,stims/images/bear.png,familiar,pretest,3,,,,,,,,,,,,,,,
coact-test,86,361158,0.0-86.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,371129.264,,,"[""stims/images/dolphin.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/armadillo.png"",""stims/images/pig.png"",""stims/images/wombat.png""]",bear,stims/images/bear.png,familiar,pretest,3,stims/audio/find_bear.wav,1,stims/images/bear.png,,,,,,,,,,,,
html-button-response,87,361334,0.0-87.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,175,,0,,,,,,,,,,,,,,,,,,,,,
coact-grid,88,382810,0.0-88.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,20171,,,"[""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/butterfly.png""]",,,,,familiar,,,,"[6,5]","[""stims/images/duck.png"",""stims/images/cat.png""]","[""duck"",""cat""]","[""stims/audio/its_duck.wav"",""stims/audio/its_cat.wav""]",right,"[""stims/images/cat.png"",""stims/images/duck.png""]","[""stims/audio/its_cat.wav"",""stims/audio/its_duck.wav""]","[""cat"",""duck""]",0,,,
coact-grid-choice,89,386388,0.0-89.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3576,,,"[""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/butterfly.png""]",,,,,familiar,,,stims/images/cat.png,,,,,right,"[""stims/images/cat.png"",""stims/images/duck.png""]","[""stims/audio/its_cat.wav"",""stims/audio/its_duck.wav""]","[""cat"",""duck""]",0,1,stims/audio/its_duck.wav,"[""stims/images/duck.png"",""stims/images/cat.png""]"
coact-grid-choice-audio,90,389396,0.0-90.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,familiar,,,stims/images/cat.png,,,,,right,,,,0,,stims/audio/its_duck.wav,
coact-grid,91,393330,0.0-91.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2629,,,"[""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/wombat.png"",""stims/images/pig.png""]",,,,,3,,,,"[1,4]","[""stims/images/dolphin.png"",""stims/images/lynx.png""]","[""dolphin"",""lynx""]","[""stims/audio/thats_dolphin.wav"",""stims/audio/thats_lynx.wav""]",right,"[""stims/images/lynx.png"",""stims/images/dolphin.png""]","[""stims/audio/thats_lynx.wav"",""stims/audio/thats_dolphin.wav""]","[""lynx"",""dolphin""]",0,,,
coact-grid-choice,92,396093,0.0-92.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2761,,,"[""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/wombat.png"",""stims/images/pig.png""]",,,,,3,,,stims/images/lynx.png,,,,,right,"[""stims/images/lynx.png"",""stims/images/dolphin.png""]","[""stims/audio/thats_lynx.wav"",""stims/audio/thats_dolphin.wav""]","[""lynx"",""dolphin""]",0,1,stims/audio/thats_dolphin.wav,"[""stims/images/dolphin.png"",""stims/images/lynx.png""]"
coact-grid-choice-audio,93,399101,0.0-93.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3003,,,,,,,,3,,,stims/images/lynx.png,,,,,right,,,,0,,stims/audio/thats_dolphin.wav,
coact-grid,94,405149,0.0-94.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,4742,,,"[""stims/images/armadillo.png"",""stims/images/dolphin.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/bear.png"",""stims/images/wombat.png""]",,,,,3,,,,"[1,5]","[""stims/images/dolphin.png"",""stims/images/pig.png""]","[""dolphin"",""pig""]","[""stims/audio/its_dolphin.wav"",""stims/audio/its_pig.wav""]",left,"[""stims/images/dolphin.png"",""stims/images/pig.png""]","[""stims/audio/its_dolphin.wav"",""stims/audio/its_pig.wav""]","[""dolphin"",""pig""]",1,,,
coact-grid-choice,95,406398,0.0-95.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,1249,,,"[""stims/images/armadillo.png"",""stims/images/dolphin.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/bear.png"",""stims/images/wombat.png""]",,,,,3,,,stims/images/pig.png,,,,,left,"[""stims/images/dolphin.png"",""stims/images/pig.png""]","[""stims/audio/its_dolphin.wav"",""stims/audio/its_pig.wav""]","[""dolphin"",""pig""]",1,1,stims/audio/its_pig.wav,"[""stims/images/dolphin.png"",""stims/images/pig.png""]"
coact-grid-choice-audio,96,409406,0.0-96.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,3,,,stims/images/pig.png,,,,,left,,,,1,,stims/audio/its_pig.wav,
coact-grid,97,414596,0.0-97.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3883,,,"[""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/wombat.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png""]",,,,,3,,,,"[1,2]","[""stims/images/bear.png"",""stims/images/wombat.png""]","[""bear"",""wombat""]","[""stims/audio/thats_bear.wav"",""stims/audio/thats_wombat.wav""]",left,"[""stims/images/bear.png"",""stims/images/wombat.png""]","[""stims/audio/thats_bear.wav"",""stims/audio/thats_wombat.wav""]","[""bear"",""wombat""]",2,,,
coact-grid-choice,98,419372,0.0-98.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,4776,,,"[""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/wombat.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/pig.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png""]",,,,,3,,,stims/images/wombat.png,,,,,left,"[""stims/images/bear.png"",""stims/images/wombat.png""]","[""stims/audio/thats_bear.wav"",""stims/audio/thats_wombat.wav""]","[""bear"",""wombat""]",2,1,stims/audio/thats_wombat.wav,"[""stims/images/bear.png"",""stims/images/wombat.png""]"
coact-grid-choice-audio,99,422380,0.0-99.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,3,,,stims/images/wombat.png,,,,,left,,,,2,,stims/audio/thats_wombat.wav,
coact-grid,100,426109,0.0-100.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2423,,,"[""stims/images/narwhal.png"",""stims/images/bear.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/dolphin.png""]",,,,,3,,,,"[6,7]","[""stims/images/pig.png"",""stims/images/dolphin.png""]","[""pig"",""dolphin""]","[""stims/audio/its_pig.wav"",""stims/audio/its_dolphin.wav""]",right,"[""stims/images/dolphin.png"",""stims/images/pig.png""]","[""stims/audio/its_dolphin.wav"",""stims/audio/its_pig.wav""]","[""dolphin"",""pig""]",3,,,
coact-grid-choice,101,429345,0.0-101.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3236,,,"[""stims/images/narwhal.png"",""stims/images/bear.png"",""stims/images/armadillo.png"",""stims/images/wombat.png"",""stims/images/lynx.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/dolphin.png""]",,,,,3,,,stims/images/dolphin.png,,,,,right,"[""stims/images/dolphin.png"",""stims/images/pig.png""]","[""stims/audio/its_dolphin.wav"",""stims/audio/its_pig.wav""]","[""dolphin"",""pig""]",3,1,stims/audio/its_pig.wav,"[""stims/images/pig.png"",""stims/images/dolphin.png""]"
coact-grid-choice-audio,102,432354,0.0-102.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,3,,,stims/images/dolphin.png,,,,,right,,,,3,,stims/audio/its_pig.wav,
coact-grid,103,439285,0.0-103.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,5626,,,"[""stims/images/lynx.png"",""stims/images/dolphin.png"",""stims/images/narwhal.png"",""stims/images/wombat.png"",""stims/images/bear.png"",""stims/images/pig.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png""]",,,,,3,,,,"[7,6]","[""stims/images/porcupine.png"",""stims/images/armadillo.png""]","[""porcupine"",""armadillo""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_armadillo.wav""]",left,"[""stims/images/porcupine.png"",""stims/images/armadillo.png""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_armadillo.wav""]","[""porcupine"",""armadillo""]",4,,,
