trial_type,trial_index,time_elapsed,internal_node_id,subject,condition,condition_vector,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,cur_target,cur_target_image,cur_target_type,round_type,set,test_audio,choice,chosen_image,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,sample_num,chosen_index,chosen_audio,central_images
coact-test,12,103529,0.0-12.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,329404.8533,,,"[""stims/images/zebra.png"",""stims/images/pig.png"",""stims/images/cormorant.png"",""stims/images/echidna.png"",""stims/images/antelope.png"",""stims/images/hippopotamus.png"",""stims/images/porcupine.png"",""stims/images/aardvark.png""]",pig,stims/images/pig.png,familiar,pretest,2,stims/audio/find_pig.wav,1,stims/images/pig.png,,,,,,,,,,,,
coact-test-prompt,13,105431,0.0-13.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,1900,,,"[""stims/images/aardvark.png"",""stims/images/pig.png"",""stims/images/hippopotamus.png"",""stims/images/cormorant.png"",""stims/images/antelope.png"",""stims/images/zebra.png"",""stims/images/echidna.png"",""stims/images/porcupine.png""]",zebra,stims/images/zebra.png,familiar,pretest,2,,,,,,,,,,,,,,,
coact-test,14,109125,0.0-14.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,334994.9653,,,"[""stims/images/aardvark.png"",""stims/images/pig.png"",""stims/images/hippopotamus.png"",""stims/images/cormorant.png"",""stims/images/antelope.png"",""stims/images/zebra.png"",""stims/images/echidna.png"",""stims/images/porcupine.png""]",zebra,stims/images/zebra.png,familiar,pretest,2,stims/audio/find_zebra.wav,5,stims/images/zebra.png,,,,,,,,,,,,
coact-test-prompt,15,111193,0.0-15.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,2067,,,"[""stims/images/nyala.png"",""stims/images/tiger.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/tarsier.png"",""stims/images/dolphin.png""]",dolphin,stims/images/dolphin.png,somewhat familiar,pretest,1,,,,,,,,,,,,,,,
coact-test,16,114646,0.0-16.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,340511.2053,,,"[""stims/images/nyala.png"",""stims/images/tiger.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/tarsier.png"",""stims/images/dolphin.png""]",dolphin,stims/images/dolphin.png,somewhat familiar,pretest,1,stims/audio/find_dolphin.wav,7,stims/images/dolphin.png,,,,,,,,,,,,
coact-test-prompt,17,115132,0.0-17.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,485,,,"[""stims/images/aardvark.png"",""stims/images/hippopotamus.png"",""stims/images/zebra.png"",""stims/images/echidna.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/cormorant.png""]",cormorant,stims/images/cormorant.png,unfamiliar,pretest,2,,,,,,,,,,,,,,,
coact-test,18,119465,0.0-18.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,345326.2693,,,"[""stims/images/aardvark.png"",""stims/images/hippopotamus.png"",""stims/images/zebra.png"",""stims/images/echidna.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/cormorant.png""]",cormorant,stims/images/cormorant.png,unfamiliar,pretest,2,stims/audio/wheres_cormorant.wav,4,stims/images/antelope.png,,,,,,,,,,,,
coact-test-prompt,19,121157,0.0-19.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,1691,,,"[""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/zebra.png"",""stims/images/cormorant.png"",""stims/images/pig.png"",""stims/images/hippopotamus.png"",""stims/images/aardvark.png"",""stims/images/echidna.png""]",aardvark,stims/images/aardvark.png,somewhat unfamiliar,pretest,2,,,,,,,,,,,,,,,
coact-test,20,124909,0.0-20.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,350765.24,,,"[""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/zebra.png"",""stims/images/cormorant.png"",""stims/images/pig.png"",""stims/images/hippopotamus.png"",""stims/images/aardvark.png"",""stims/images/echidna.png""]",aardvark,stims/images/aardvark.png,somewhat unfamiliar,pretest,2,stims/audio/find_aardvark.wav,7,stims/images/echidna.png,,,,,,,,,,,,
coact-test-prompt,21,126110,0.0-21.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,1199,,,"[""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/tiger.png"",""stims/images/nyala.png"",""stims/images/tarsier.png""]",lynx,stims/images/lynx.png,somewhat unfamiliar,pretest,1,,,,,,,,,,,,,,,
coact-test,22,129537,0.0-22.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,355388.288,,,"[""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/tiger.png"",""stims/images/nyala.png"",""stims/images/tarsier.png""]",lynx,stims/images/lynx.png,somewhat unfamiliar,pretest,1,stims/audio/wheres_lynx.wav,3,stims/images/sloth.png,,,,,,,,,,,,
coact-test-prompt,23,131246,0.0-23.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,1708,,,"[""stims/images/raccoon.png"",""stims/images/nyala.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/sloth.png"",""stims/images/tiger.png""]",sloth,stims/images/sloth.png,somewhat unfamiliar,pretest,1,,,,,,,,,,,,,,,
coact-test,24,135583,0.0-24.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,361429.152,,,"[""stims/images/raccoon.png"",""stims/images/nyala.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/sloth.png"",""stims/images/tiger.png""]",sloth,stims/images/sloth.png,somewhat unfamiliar,pretest,1,stims/audio/find_sloth.wav,6,stims/images/sloth.png,,,,,,,,,,,,
coact-test-prompt,25,136565,0.0-25.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,980,,,"[""stims/images/nyala.png"",""stims/images/tiger.png"",""stims/images/sloth.png"",""stims/images/lynx.png"",""stims/images/dolphin.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/raccoon.png""]",tarsier,stims/images/tarsier.png,unfamiliar,pretest,1,,,,,,,,,,,,,,,
coact-test,26,139940,0.0-26.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,365780.832,,,"[""stims/images/nyala.png"",""stims/images/tiger.png"",""stims/images/sloth.png"",""stims/images/lynx.png"",""stims/images/dolphin.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/raccoon.png""]",tarsier,stims/images/tarsier.png,unfamiliar,pretest,1,stims/audio/wheres_tarsier.wav,3,stims/images/lynx.png,,,,,,,,,,,,
coact-test-prompt,27,142261,0.0-27.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,2319,,,"[""stims/images/sloth.png"",""stims/images/tiger.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/raccoon.png"",""stims/images/tarsier.png"",""stims/images/nyala.png""]",raccoon,stims/images/raccoon.png,somewhat familiar,pretest,1,,,,,,,,,,,,,,,
coact-test,28,147406,0.0-28.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,373241.136,,,"[""stims/images/sloth.png"",""stims/images/tiger.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/raccoon.png"",""stims/images/tarsier.png"",""stims/images/nyala.png""]",raccoon,stims/images/raccoon.png,somewhat familiar,pretest,1,stims/audio/find_raccoon.wav,5,stims/images/raccoon.png,,,,,,,,,,,,
coact-test-prompt,29,149031,0.0-29.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,1625,,,"[""stims/images/echidna.png"",""stims/images/zebra.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/antelope.png"",""stims/images/cormorant.png"",""stims/images/aardvark.png"",""stims/images/hippopotamus.png""]",echidna,stims/images/echidna.png,unfamiliar,pretest,2,,,,,,,,,,,,,,,
coact-test,30,152715,0.0-30.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,378544.3653,,,"[""stims/images/echidna.png"",""stims/images/zebra.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/antelope.png"",""stims/images/cormorant.png"",""stims/images/aardvark.png"",""stims/images/hippopotamus.png""]",echidna,stims/images/echidna.png,unfamiliar,pretest,2,stims/audio/find_echidna.wav,0,stims/images/echidna.png,,,,,,,,,,,,
coact-test-prompt,31,155723,0.0-31.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3006,,,"[""stims/images/tarsier.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/dolphin.png"",""stims/images/tiger.png"",""stims/images/nyala.png""]",nyala,stims/images/nyala.png,unfamiliar,pretest,1,,,,,,,,,,,,,,,
coact-test,32,159029,0.0-32.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,384851.6747,,,"[""stims/images/tarsier.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/dolphin.png"",""stims/images/tiger.png"",""stims/images/nyala.png""]",nyala,stims/images/nyala.png,unfamiliar,pretest,1,stims/audio/wheres_nyala.wav,0,stims/images/tarsier.png,,,,,,,,,,,,
coact-test-prompt,33,161082,0.0-33.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,2052,,,"[""stims/images/nyala.png"",""stims/images/elephant.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/sloth.png""]",elephant,stims/images/elephant.png,familiar,pretest,1,,,,,,,,,,,,,,,
coact-test,34,165063,0.0-34.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,390880.3147,,,"[""stims/images/nyala.png"",""stims/images/elephant.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/sloth.png""]",elephant,stims/images/elephant.png,familiar,pretest,1,stims/audio/find_elephant.wav,1,stims/images/elephant.png,,,,,,,,,,,,
coact-test-prompt,35,168255,0.0-35.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3191,,,"[""stims/images/antelope.png"",""stims/images/echidna.png"",""stims/images/cormorant.png"",""stims/images/zebra.png"",""stims/images/aardvark.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/hippopotamus.png""]",antelope,stims/images/antelope.png,somewhat unfamiliar,pretest,2,,,,,,,,,,,,,,,
coact-test,36,172430,0.0-36.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,398240.144,,,"[""stims/images/antelope.png"",""stims/images/echidna.png"",""stims/images/cormorant.png"",""stims/images/zebra.png"",""stims/images/aardvark.png"",""stims/images/porcupine.png"",""stims/images/pig.png"",""stims/images/hippopotamus.png""]",antelope,stims/images/antelope.png,somewhat unfamiliar,pretest,2,stims/audio/wheres_antelope.wav,7,stims/images/hippopotamus.png,,,,,,,,,,,,
coact-test-prompt,37,173877,0.0-37.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,1446,,,"[""stims/images/pig.png"",""stims/images/porcupine.png"",""stims/images/echidna.png"",""stims/images/zebra.png"",""stims/images/aardvark.png"",""stims/images/antelope.png"",""stims/images/hippopotamus.png"",""stims/images/cormorant.png""]",hippopotamus,stims/images/hippopotamus.png,somewhat familiar,pretest,2,,,,,,,,,,,,,,,
coact-test,38,180030,0.0-38.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,405834.52,,,"[""stims/images/pig.png"",""stims/images/porcupine.png"",""stims/images/echidna.png"",""stims/images/zebra.png"",""stims/images/aardvark.png"",""stims/images/antelope.png"",""stims/images/hippopotamus.png"",""stims/images/cormorant.png""]",hippopotamus,stims/images/hippopotamus.png,somewhat familiar,pretest,2,stims/audio/wheres_hippopotamus.wav,6,stims/images/hippopotamus.png,,,,,,,,,,,,
html-button-response,39,259411,0.0-39.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,79383,,0,,,,,,,,,,,,,,,,,,,,,
coact-grid,40,270609,0.0-40.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,9887,,,"[""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/butterfly.png""]",,,,,familiar,,,,"[3,4]","[""stims/images/cat.png"",""stims/images/duck.png""]","[""cat"",""duck""]","[""stims/audio/its_cat.wav"",""stims/audio/its_duck.wav""]",right,"[""stims/images/duck.png"",""stims/images/cat.png""]","[""stims/audio/its_duck.wav"",""stims/audio/its_cat.wav""]","[""duck"",""cat""]",0,,,
coact-grid-choice,41,276043,0.0-41.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,5433,,,"[""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/butterfly.png""]",,,,,familiar,,,stims/images/duck.png,,,,,right,"[""stims/images/duck.png"",""stims/images/cat.png""]","[""stims/audio/its_duck.wav"",""stims/audio/its_cat.wav""]","[""duck"",""cat""]",0,1,stims/audio/its_cat.wav,"[""stims/images/cat.png"",""stims/images/duck.png""]"
coact-grid-choice-audio,42,279055,0.0-42.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3000,,,,,,,,familiar,,,stims/images/duck.png,,,,,right,,,,0,,stims/audio/its_cat.wav,
coact-grid,43,290353,0.0-43.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,9989,,,"[""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/wolf.png""]",,,,,familiar,,,,"[6,0]","[""stims/images/horse.png"",""stims/images/squirrel.png""]","[""horse"",""squirrel""]","[""stims/audio/thats_horse.wav"",""stims/audio/thats_squirrel.wav""]",left,"[""stims/images/horse.png"",""stims/images/squirrel.png""]","[""stims/audio/thats_horse.wav"",""stims/audio/thats_squirrel.wav""]","[""horse"",""squirrel""]",1,,,
coact-grid-choice,44,295789,0.0-44.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,5435,,,"[""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/wolf.png""]",,,,,familiar,,,stims/images/squirrel.png,,,,,left,"[""stims/images/horse.png"",""stims/images/squirrel.png""]","[""stims/audio/thats_horse.wav"",""stims/audio/thats_squirrel.wav""]","[""horse"",""squirrel""]",1,1,stims/audio/thats_squirrel.wav,"[""stims/images/horse.png"",""stims/images/squirrel.png""]"
coact-grid-choice-audio,45,298798,0.0-45.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3000,,,,,,,,familiar,,,stims/images/squirrel.png,,,,,left,,,,1,,stims/audio/thats_squirrel.wav,
coact-grid,46,311405,0.0-46.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,11300,,,"[""stims/images/tarsier.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/nyala.png"",""stims/images/tiger.png""]",,,,,1,,,,"[0,7]","[""stims/images/tarsier.png"",""stims/images/tiger.png""]","[""tarsier"",""tiger""]","[""stims/audio/thats_tarsier.wav"",""stims/audio/thats_tiger.wav""]",right,"[""stims/images/tiger.png"",""stims/images/tarsier.png""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_tarsier.wav""]","[""tiger"",""tarsier""]",0,,,
coact-grid-choice,47,313865,0.0-47.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,2459,,,"[""stims/images/tarsier.png"",""stims/images/lynx.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/nyala.png"",""stims/images/tiger.png""]",,,,,1,,,stims/images/tiger.png,,,,,right,"[""stims/images/tiger.png"",""stims/images/tarsier.png""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_tarsier.wav""]","[""tiger"",""tarsier""]",0,1,stims/audio/thats_tarsier.wav,"[""stims/images/tarsier.png"",""stims/images/tiger.png""]"
coact-grid-choice-audio,48,316875,0.0-48.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3000,,,,,,,,1,,,stims/images/tiger.png,,,,,right,,,,0,,stims/audio/thats_tarsier.wav,
coact-grid,49,333459,0.0-49.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,15278,,,"[""stims/images/nyala.png"",""stims/images/tiger.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/raccoon.png""]",,,,,1,,,,"[1,3]","[""stims/images/tiger.png"",""stims/images/lynx.png""]","[""tiger"",""lynx""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_lynx.wav""]",left,"[""stims/images/tiger.png"",""stims/images/lynx.png""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_lynx.wav""]","[""tiger"",""lynx""]",1,,,
coact-grid-choice,50,336578,0.0-50.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3117,,,"[""stims/images/nyala.png"",""stims/images/tiger.png"",""stims/images/dolphin.png"",""stims/images/lynx.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/raccoon.png""]",,,,,1,,,stims/images/lynx.png,,,,,left,"[""stims/images/tiger.png"",""stims/images/lynx.png""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_lynx.wav""]","[""tiger"",""lynx""]",1,1,stims/audio/thats_lynx.wav,"[""stims/images/tiger.png"",""stims/images/lynx.png""]"
coact-grid-choice-audio,51,339586,0.0-51.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3000,,,,,,,,1,,,stims/images/lynx.png,,,,,left,,,,1,,stims/audio/thats_lynx.wav,
coact-grid,52,348258,0.0-52.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,7365,,,"[""stims/images/elephant.png"",""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/nyala.png"",""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/sloth.png"",""stims/images/tarsier.png""]",,,,,1,,,,"[6,2]","[""stims/images/sloth.png"",""stims/images/dolphin.png""]","[""sloth"",""dolphin""]","[""stims/audio/its_sloth.wav"",""stims/audio/its_dolphin.wav""]",left,"[""stims/images/sloth.png"",""stims/images/dolphin.png""]","[""stims/audio/its_sloth.wav"",""stims/audio/its_dolphin.wav""]","[""sloth"",""dolphin""]",2,,,
coact-grid-choice,53,351404,0.0-53.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3144,,,"[""stims/images/elephant.png"",""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/nyala.png"",""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/sloth.png"",""stims/images/tarsier.png""]",,,,,1,,,stims/images/sloth.png,,,,,left,"[""stims/images/sloth.png"",""stims/images/dolphin.png""]","[""stims/audio/its_sloth.wav"",""stims/audio/its_dolphin.wav""]","[""sloth"",""dolphin""]",2,0,stims/audio/its_sloth.wav,"[""stims/images/sloth.png"",""stims/images/dolphin.png""]"
coact-grid-choice-audio,54,354413,0.0-54.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3003,,,,,,,,1,,,stims/images/sloth.png,,,,,left,,,,2,,stims/audio/its_sloth.wav,
coact-grid,55,362015,0.0-55.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,6297,,,"[""stims/images/tarsier.png"",""stims/images/dolphin.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/nyala.png"",""stims/images/lynx.png""]",,,,,1,,,,"[4,3]","[""stims/images/elephant.png"",""stims/images/raccoon.png""]","[""elephant"",""raccoon""]","[""stims/audio/thats_elephant.wav"",""stims/audio/thats_raccoon.wav""]",right,"[""stims/images/raccoon.png"",""stims/images/elephant.png""]","[""stims/audio/thats_raccoon.wav"",""stims/audio/thats_elephant.wav""]","[""raccoon"",""elephant""]",3,,,
coact-grid-choice,56,364610,0.0-56.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,2596,,,"[""stims/images/tarsier.png"",""stims/images/dolphin.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/nyala.png"",""stims/images/lynx.png""]",,,,,1,,,stims/images/elephant.png,,,,,right,"[""stims/images/raccoon.png"",""stims/images/elephant.png""]","[""stims/audio/thats_raccoon.wav"",""stims/audio/thats_elephant.wav""]","[""raccoon"",""elephant""]",3,0,stims/audio/thats_raccoon.wav,"[""stims/images/elephant.png"",""stims/images/raccoon.png""]"
coact-grid-choice-audio,57,367619,0.0-57.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,3000,,,,,,,,1,,,stims/images/elephant.png,,,,,right,,,,3,,stims/audio/thats_raccoon.wav,
coact-grid,58,375484,0.0-58.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,6559,,,"[""stims/images/raccoon.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/nyala.png"",""stims/images/dolphin.png"",""stims/images/sloth.png"",""stims/images/tiger.png""]",,,,,1,,,,"[7,4]","[""stims/images/tiger.png"",""stims/images/nyala.png""]","[""tiger"",""nyala""]","[""stims/audio/its_tiger.wav"",""stims/audio/its_nyala.wav""]",left,"[""stims/images/tiger.png"",""stims/images/nyala.png""]","[""stims/audio/its_tiger.wav"",""stims/audio/its_nyala.wav""]","[""tiger"",""nyala""]",4,,,
coact-grid-choice,59,377151,0.0-59.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,1667,,,"[""stims/images/raccoon.png"",""stims/images/tarsier.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/nyala.png"",""stims/images/dolphin.png"",""stims/images/sloth.png"",""stims/images/tiger.png""]",,,,,1,,,stims/images/nyala.png,,,,,left,"[""stims/images/tiger.png"",""stims/images/nyala.png""]","[""stims/audio/its_tiger.wav"",""stims/audio/its_nyala.wav""]","[""tiger"",""nyala""]",4,1,stims/audio/its_nyala.wav,"[""stims/images/tiger.png"",""stims/images/nyala.png""]"
