trial_type,trial_index,time_elapsed,internal_node_id,subject,condition,condition_vector,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,cur_target,cur_target_image,cur_target_type,round_type,set,test_audio,choice,chosen_image,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,sample_num,chosen_index,chosen_audio,central_images
pavlovia,0,4,0.0-0.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preload,1,38359,0.0-1.0,,,"[""active"",""passive"",""passive"",""active""]",TRUE,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,2,67435,0.0-2.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,29076,,0,,,,,,,,,,,,,,,,,,,,,
coact-test-prompt,3,68243,0.0-3.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,807,,,"[""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/butterfly.png""]",duck,stims/images/duck.png,familiar,practice_pretest,familiar,,,,,,,,,,,,,,,
coact-test,4,72081,0.0-4.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,297986,,,"[""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/butterfly.png""]",duck,stims/images/duck.png,familiar,practice_pretest,familiar,stims/audio/wheres_duck.wav,0,stims/images/duck.png,,,,,,,,,,,,
coact-test-prompt,5,78065,0.0-5.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,5983,,,"[""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/wolf.png""]",cat,stims/images/cat.png,familiar,practice_pretest,familiar,,,,,,,,,,,,,,,
coact-test,6,81111,0.0-6.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,307007.3307,,,"[""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/wolf.png""]",cat,stims/images/cat.png,familiar,practice_pretest,familiar,stims/audio/find_cat.wav,0,stims/images/cat.png,,,,,,,,,,,,
coact-test-prompt,7,87052,0.0-7.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,5939,,,"[""stims/images/raccoon.png"",""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/dolphin.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/nyala.png""]",tiger,stims/images/tiger.png,familiar,pretest,1,,,,,,,,,,,,,,,
coact-test,8,91457,0.0-8.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,317344.3467,,,"[""stims/images/raccoon.png"",""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/dolphin.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/elephant.png"",""stims/images/nyala.png""]",tiger,stims/images/tiger.png,familiar,pretest,1,stims/audio/wheres_tiger.wav,2,stims/images/tiger.png,,,,,,,,,,,,
coact-test-prompt,9,94116,0.0-9.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,2658,,,"[""stims/images/pig.png"",""stims/images/aardvark.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/echidna.png"",""stims/images/hippopotamus.png"",""stims/images/zebra.png"",""stims/images/cormorant.png""]",porcupine,stims/images/porcupine.png,somewhat familiar,pretest,2,,,,,,,,,,,,,,,
coact-test,10,97893,0.0-10.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,323774.28,,,"[""stims/images/pig.png"",""stims/images/aardvark.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/echidna.png"",""stims/images/hippopotamus.png"",""stims/images/zebra.png"",""stims/images/cormorant.png""]",porcupine,stims/images/porcupine.png,somewhat familiar,pretest,2,stims/audio/wheres_porcupine.wav,3,stims/images/porcupine.png,,,,,,,,,,,,
coact-test-prompt,11,100545,0.0-11.0,,,"[""active"",""passive"",""passive"",""active""]",,,,,,2650,,,"[""stims/images/zebra.png"",""stims/images/pig.png"",""stims/images/cormorant.png"",""stims/images/echidna.png"",""stims/images/antelope.png"",""stims/images/hippopotamus.png"",""stims/images/porcupine.png"",""stims/images/aardvark.png""]",pig,stims/images/pig.png,familiar,pretest,2,,,,,,,,,,,,,,,
