"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video","question_order","words"
"pavlovia","0","7","0.0-0.0","p092","","","","","","","","",""
"survey-text","1","5963","0.0-1.0","p092","5948","{""subject"":""p092""}","","","","","","",""
"preload","2","6329","0.0-2.0","p092","","","true","false","[]","[]","[]","",""
"survey-likert","3","2178320","0.0-3.0","p092","156416","{""Q0"":0,""Q1"":3,""Q2"":0,""Q3"":5,""Q4"":2,""Q5"":3,""Q6"":5,""Q7"":4,""Q8"":5,""Q9"":3,""Q10"":5,""Q11"":5,""Q12"":4,""Q13"":5,""Q14"":1,""Q15"":5,""Q16"":5,""Q17"":5,""Q18"":5,""Q19"":5,""Q20"":2,""Q21"":5,""Q22"":3,""Q23"":0,""Q24"":0,""Q25"":5,""Q26"":5,""Q27"":5,""Q28"":4,""Q29"":5,""Q30"":5,""Q31"":4,""Q32"":0,""Q33"":5,""Q34"":3,""Q35"":3,""Q36"":1,""Q37"":5,""Q38"":5,""Q39"":3}","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","[""tapir"",""raccoon"",""echidna"",""frog"",""wombat"",""lobster"",""butterfly"",""narwhal"",""cow"",""alpaca"",""horse"",""koala"",""jaguar"",""squirrel"",""lynx"",""bear"",""flamingo"",""turtle"",""duck"",""dog"",""aardvark"",""wolf"",""sloth"",""nyala"",""tarsier"",""zebra"",""hippopotamus"",""elephant"",""porcupine"",""cat"",""dolphin"",""chameleon"",""cormorant"",""pig"",""antelope"",""armadillo"",""pangolin"",""rabbit"",""tiger"",""manatee""]"
