"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video","question_order","words"
"pavlovia","0","3","0.0-0.0","p093","","","","","","","","",""
"survey-text","1","9984","0.0-1.0","p093","9979","{""subject"":""p093""}","","","","","","",""
"preload","2","10040","0.0-2.0","p093","","","true","false","[]","[]","[]","",""
"survey-likert","3","309138","0.0-3.0","p093","299101.00000000006","{""Q0"":2,""Q1"":5,""Q2"":3,""Q3"":0,""Q4"":5,""Q5"":4,""Q6"":3,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":4,""Q11"":0,""Q12"":3,""Q13"":3,""Q14"":0,""Q15"":4,""Q16"":5,""Q17"":5,""Q18"":2,""Q19"":2,""Q20"":5,""Q21"":3,""Q22"":3,""Q23"":5,""Q24"":0,""Q25"":5,""Q26"":2,""Q27"":0,""Q28"":5,""Q29"":2,""Q30"":3,""Q31"":3,""Q32"":3,""Q33"":1,""Q34"":4,""Q35"":5,""Q36"":5,""Q37"":2,""Q38"":5,""Q39"":5}","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","[""sloth"",""turtle"",""flamingo"",""nyala"",""squirrel"",""butterfly"",""hippopotamus"",""narwhal"",""aardvark"",""wombat"",""cow"",""pangolin"",""echidna"",""armadillo"",""lynx"",""zebra"",""bear"",""cat"",""porcupine"",""antelope"",""horse"",""jaguar"",""raccoon"",""tiger"",""tarsier"",""dog"",""koala"",""cormorant"",""lobster"",""tapir"",""alpaca"",""dolphin"",""wolf"",""chameleon"",""frog"",""duck"",""pig"",""manatee"",""rabbit"",""elephant""]"
