"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","25","0.0-0.0","p057","","","","","","",""
"survey-text","1","5630","0.0-1.0","p057","5599","{""subject"":""p057""}","","","","",""
"preload","2","5849","0.0-2.0","p057","","","true","false","[]","[]","[]"
