"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","2","0.0-0.0","p065","","","","","","",""
"survey-text","1","4406","0.0-1.0","p065","4400.000000000001","{""subject"":""p065""}","","","","",""
"preload","2","4460","0.0-2.0","p065","","","true","false","[]","[]","[]"
