"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video","question_order","words"
"pavlovia","0","2","0.0-0.0","p073","","","","","","","","",""
"survey-text","1","4738","0.0-1.0","p073","4732","{""subject"":""p073""}","","","","","","",""
"preload","2","4795","0.0-2.0","p073","","","true","false","[]","[]","[]","",""
"survey-likert","3","1289167","0.0-3.0","p073","225202.00000000003","{""Q0"":4,""Q1"":1,""Q2"":3,""Q3"":3,""Q4"":0,""Q5"":0,""Q6"":4,""Q7"":5,""Q8"":5,""Q9"":0,""Q10"":5,""Q11"":5,""Q12"":"""",""Q13"":0,""Q14"":5,""Q15"":5,""Q16"":5,""Q17"":5,""Q18"":3,""Q19"":0,""Q20"":5,""Q21"":5,""Q22"":0,""Q23"":0,""Q24"":1,""Q25"":1,""Q26"":0,""Q27"":5,""Q28"":0,""Q29"":4,""Q30"":5,""Q31"":5,""Q32"":3,""Q33"":0,""Q34"":0,""Q35"":5,""Q36"":5,""Q37"":4,""Q38"":4,""Q39"":0}","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","[""pig"",""armadillo"",""lobster"",""dolphin"",""pangolin"",""nyala"",""wolf"",""cat"",""bear"",""tarsier"",""turtle"",""squirrel"",""rabbit"",""echidna"",""butterfly"",""horse"",""hippopotamus"",""elephant"",""alpaca"",""manatee"",""duck"",""cow"",""tapir"",""cormorant"",""antelope"",""chameleon"",""lynx"",""frog"",""narwhal"",""koala"",""raccoon"",""tiger"",""sloth"",""jaguar"",""aardvark"",""zebra"",""dog"",""porcupine"",""flamingo"",""wombat""]"
