"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video","question_order","words"
"pavlovia","0","17","0.0-0.0","p012","","","","","","","","",""
"survey-text","1","6508","0.0-1.0","p012","6487","{""subject"":""p012""}","","","","","","",""
"preload","2","6705","0.0-2.0","p012","","","true","false","[]","[]","[]","",""
"survey-likert","3","147184","0.0-3.0","p012","140471","{""Q0"":3,""Q1"":5,""Q2"":5,""Q3"":4,""Q4"":4,""Q5"":5,""Q6"":5,""Q7"":5,""Q8"":5,""Q9"":2,""Q10"":5,""Q11"":5,""Q12"":3,""Q13"":3,""Q14"":5,""Q15"":4,""Q16"":5,""Q17"":5,""Q18"":4,""Q19"":5,""Q20"":2,""Q21"":5,""Q22"":5,""Q23"":0,""Q24"":5,""Q25"":5,""Q26"":5,""Q27"":5,""Q28"":5,""Q29"":0,""Q30"":5,""Q31"":5,""Q32"":5,""Q33"":5,""Q34"":2,""Q35"":5,""Q36"":5,""Q37"":3,""Q38"":5,""Q39"":5}","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","[""pangolin"",""koala"",""squirrel"",""aardvark"",""echidna"",""elephant"",""narwhal"",""horse"",""jaguar"",""tarsier"",""cow"",""raccoon"",""antelope"",""lynx"",""flamingo"",""armadillo"",""zebra"",""manatee"",""sloth"",""dog"",""tapir"",""rabbit"",""bear"",""nyala"",""frog"",""porcupine"",""pig"",""butterfly"",""tiger"",""cormorant"",""wolf"",""duck"",""chameleon"",""cat"",""wombat"",""hippopotamus"",""dolphin"",""alpaca"",""turtle"",""lobster""]"
