"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","3","0.0-0.0","p111","","","","","","",""
"survey-text","1","32377","0.0-1.0","p111","32371","{""subject"":""p111""}","","","","",""
"preload","2","32433","0.0-2.0","p111","","","true","false","[]","[]","[]"
