"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","4","0.0-0.0","9999","","","","","","",""
"survey-text","1","2561","0.0-1.0","9999","2555","{""subject"":""9999""}","","","","",""
"preload","2","38367","0.0-2.0","9999","","","true","false","[]","[]","[]"
