"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","7","0.0-0.0","p034","","","","","","",""
"survey-text","1","6106","0.0-1.0","p034","6087","{""subject"":""p034""}","","","","",""
"preload","2","6319","0.0-2.0","p034","","","true","false","[]","[]","[]"
