"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","7","0.0-0.0","p044","","","","","","",""
"survey-text","1","10712","0.0-1.0","p044","10700","{""subject"":""p044""}","","","","",""
"preload","2","10914","0.0-2.0","p044","","","true","false","[]","[]","[]"
