"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","2","0.0-0.0","p069","","","","","","",""
"survey-text","1","5059","0.0-1.0","p069","5051","{""subject"":""p069""}","","","","",""
"preload","2","5107","0.0-2.0","p069","","","true","false","[]","[]","[]"
