"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video","question_order","words"
"pavlovia","0","3","0.0-0.0","p060","","","","","","","","",""
"survey-text","1","6881","0.0-1.0","p060","6875","{""subject"":""p060""}","","","","","","",""
"preload","2","7138","0.0-2.0","p060","","","true","false","[]","[]","[]","",""
"survey-likert","3","1164033","0.0-3.0","p060","562833","{""Q0"":0,""Q1"":5,""Q2"":5,""Q3"":4,""Q4"":1,""Q5"":5,""Q6"":5,""Q7"":5,""Q8"":5,""Q9"":5,""Q10"":5,""Q11"":1,""Q12"":4,""Q13"":4,""Q14"":4,""Q15"":0,""Q16"":1,""Q17"":5,""Q18"":4,""Q19"":3,""Q20"":5,""Q21"":5,""Q22"":3,""Q23"":4,""Q24"":3,""Q25"":5,""Q26"":2,""Q27"":5,""Q28"":5,""Q29"":4,""Q30"":5,""Q31"":3,""Q32"":4,""Q33"":4,""Q34"":5,""Q35"":5,""Q36"":5,""Q37"":4,""Q38"":5,""Q39"":3}","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","[""cormorant"",""turtle"",""horse"",""antelope"",""tarsier"",""pig"",""tiger"",""squirrel"",""wolf"",""cat"",""bear"",""echidna"",""flamingo"",""chameleon"",""lobster"",""nyala"",""tapir"",""rabbit"",""aardvark"",""wombat"",""duck"",""butterfly"",""armadillo"",""porcupine"",""lynx"",""zebra"",""pangolin"",""dolphin"",""elephant"",""sloth"",""cow"",""narwhal"",""manatee"",""hippopotamus"",""raccoon"",""koala"",""frog"",""jaguar"",""dog"",""alpaca""]"
