"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video","question_order","words"
"pavlovia","0","3","0.0-0.0","p050","","","","","","","","",""
"survey-text","1","5385","0.0-1.0","p050","5378.000000000001","{""subject"":""p050""}","","","","","","",""
"preload","2","5492","0.0-2.0","p050","","","true","false","[]","[]","[]","",""
"survey-likert","3","397739","0.0-3.0","p050","184454","{""Q0"":5,""Q1"":4,""Q2"":5,""Q3"":5,""Q4"":4,""Q5"":3,""Q6"":5,""Q7"":2,""Q8"":1,""Q9"":5,""Q10"":5,""Q11"":0,""Q12"":1,""Q13"":4,""Q14"":5,""Q15"":0,""Q16"":0,""Q17"":2,""Q18"":5,""Q19"":5,""Q20"":2,""Q21"":5,""Q22"":5,""Q23"":0,""Q24"":5,""Q25"":0,""Q26"":5,""Q27"":5,""Q28"":5,""Q29"":5,""Q30"":5,""Q31"":5,""Q32"":5,""Q33"":1,""Q34"":1,""Q35"":2,""Q36"":0,""Q37"":5,""Q38"":4,""Q39"":1}","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","[""pig"",""chameleon"",""flamingo"",""elephant"",""wolf"",""manatee"",""raccoon"",""wombat"",""jaguar"",""cat"",""bear"",""cormorant"",""lynx"",""rabbit"",""koala"",""tarsier"",""nyala"",""sloth"",""tiger"",""dog"",""armadillo"",""zebra"",""squirrel"",""echidna"",""lobster"",""pangolin"",""cow"",""turtle"",""butterfly"",""frog"",""horse"",""narwhal"",""duck"",""alpaca"",""antelope"",""porcupine"",""tapir"",""hippopotamus"",""dolphin"",""aardvark""]"
