"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","7","0.0-0.0","rr","","","","","","",""
"survey-text","1","5122","0.0-1.0","rr","5098.100000000035","{""subject"":""rr""}","","","","",""
"preload","2","6040","0.0-2.0","rr","","","true","false","[]","[]","[]"
