"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","words"
"pavlovia","0","2","0.0-0.0","Shashi","","","","","","","","",""
"preload","1","12787","0.0-1.0","Shashi","true","false","[]","[]","[]","","","",""
"survey-likert","2","165819","0.0-2.0","Shashi","","","","","","153020","{""Q0"":1,""Q1"":1,""Q2"":5,""Q3"":5,""Q4"":2,""Q5"":5,""Q6"":5,""Q7"":5,""Q8"":1,""Q9"":4,""Q10"":5,""Q11"":4,""Q12"":2,""Q13"":2,""Q14"":5,""Q15"":2,""Q16"":1,""Q17"":1,""Q18"":5,""Q19"":5,""Q20"":5,""Q21"":5,""Q22"":5,""Q23"":5,""Q24"":"""",""Q25"":5,""Q26"":5,""Q27"":5,""Q28"":1,""Q29"":1,""Q30"":1,""Q31"":1,""Q32"":5,""Q33"":1,""Q34"":3,""Q35"":1,""Q36"":5,""Q37"":2,""Q38"":1,""Q39"":5}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","[""wombat"",""nyala"",""bear"",""cat"",""armadillo"",""jaguar"",""pig"",""elephant"",""tarsier"",""squirrel"",""tiger"",""lobster"",""narwhal"",""sloth"",""flamingo"",""manatee"",""lynx"",""raccoon"",""turtle"",""wolf"",""dog"",""rabbit"",""hippopotamus"",""horse"",""cow"",""duck"",""porcupine"",""dolphin"",""cormorant"",""echidna"",""antelope"",""pangolin"",""frog"",""aardvark"",""chameleon"",""tapir"",""zebra"",""alpaca"",""koala"",""butterfly""]"
