"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","1","0.0-0.0","p049","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","136","0.0-1.0","p049","1","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","49477","0.0-2.0","p049","1","0","","","","","","49347.00000000001","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","52999","0.0-3.0","p049","1","0","","","","","","3515.9999999999927","","","[""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/horse.png""]","cow","stims/images/cow.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","58867","0.0-4.0","p049","1","0","","","","","","63563.085333333336","","","[""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/horse.png""]","cow","","familiar","practice_pretest","familiar","stims/audio/wheres_cow.wav","4","stims/images/cow.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","62778","0.0-5.0","p049","1","0","","","","","","3911.0000000000073","","","[""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/duck.png""]","butterfly","stims/images/butterfly.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","65711","0.0-6.0","p049","1","0","","","","","","70397.31200000002","","","[""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/duck.png""]","butterfly","","familiar","practice_pretest","familiar","stims/audio/find_butterfly.wav","4","stims/images/butterfly.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","69556","0.0-7.0","p049","1","0","","","","","","3843.9999999999854","","","[""stims/images/lobster.png"",""stims/images/jaguar.png"",""stims/images/pangolin.png"",""stims/images/pig.png"",""stims/images/antelope.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/sloth.png""]","bear","stims/images/bear.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","8","72580","0.0-8.0","p049","1","0","","","","","","77259.53333333335","","","[""stims/images/lobster.png"",""stims/images/jaguar.png"",""stims/images/pangolin.png"",""stims/images/pig.png"",""stims/images/antelope.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/sloth.png""]","bear","","familiar","pretest","1","stims/audio/wheres_bear.wav","5","stims/images/bear.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","75777","0.0-9.0","p049","1","0","","","","","","3194.9999999999854","","","[""stims/images/sloth.png"",""stims/images/pangolin.png"",""stims/images/pig.png"",""stims/images/jaguar.png"",""stims/images/bear.png"",""stims/images/antelope.png"",""stims/images/lobster.png"",""stims/images/narwhal.png""]","jaguar","stims/images/jaguar.png","somewhat familiar","pretest","1","","","","","","","","","","","","","","","","",""
