"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","2","0.0-0.0","p088","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","338","0.0-1.0","p088","2","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","14876","0.0-2.0","p088","2","1","","","","","","14538","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","23825","0.0-3.0","p088","2","1","","","","","","8943","","","[""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","squirrel","stims/images/squirrel.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","28775","0.0-4.0","p088","2","1","","","","","","33597.46666666667","","","[""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","squirrel","","familiar","practice_pretest","familiar","stims/audio/wheres_squirrel.wav","7","stims/images/squirrel.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","33765","0.0-5.0","p088","2","1","","","","","","4988","","","[""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/squirrel.png""]","horse","stims/images/horse.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","37846","0.0-6.0","p088","2","1","","","","","","42659.52533333333","","","[""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/squirrel.png""]","horse","","familiar","practice_pretest","familiar","stims/audio/find_horse.wav","0","stims/images/horse.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","47596","0.0-7.0","p088","2","1","","","","","","9748","","","[""stims/images/tiger.png"",""stims/images/porcupine.png"",""stims/images/turtle.png"",""stims/images/alpaca.png"",""stims/images/lobster.png"",""stims/images/echidna.png"",""stims/images/manatee.png"",""stims/images/narwhal.png""]","lobster","stims/images/lobster.png","somewhat familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","8","57750","0.0-8.0","p088","2","1","","","","","","62550.696","","","[""stims/images/tiger.png"",""stims/images/porcupine.png"",""stims/images/turtle.png"",""stims/images/alpaca.png"",""stims/images/lobster.png"",""stims/images/echidna.png"",""stims/images/manatee.png"",""stims/images/narwhal.png""]","lobster","","somewhat familiar","pretest","2","stims/audio/wheres_lobster.wav","4","stims/images/lobster.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","68256","0.0-9.0","p088","2","1","","","","","","10506","","","[""stims/images/narwhal.png"",""stims/images/tiger.png"",""stims/images/porcupine.png"",""stims/images/manatee.png"",""stims/images/echidna.png"",""stims/images/alpaca.png"",""stims/images/turtle.png"",""stims/images/lobster.png""]","echidna","stims/images/echidna.png","unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","10","74908","0.0-10.0","p088","2","1","","","","","","79689.03733333333","","","[""stims/images/narwhal.png"",""stims/images/tiger.png"",""stims/images/porcupine.png"",""stims/images/manatee.png"",""stims/images/echidna.png"",""stims/images/alpaca.png"",""stims/images/turtle.png"",""stims/images/lobster.png""]","echidna","","unfamiliar","pretest","2","stims/audio/wheres_echidna.wav","3","stims/images/manatee.png","0","","","","","","","","","","","","",""
"coact-test-prompt","11","81574","0.0-11.0","p088","2","1","","","","","","6664","","","[""stims/images/lobster.png"",""stims/images/alpaca.png"",""stims/images/turtle.png"",""stims/images/narwhal.png"",""stims/images/tiger.png"",""stims/images/manatee.png"",""stims/images/echidna.png"",""stims/images/porcupine.png""]","porcupine","stims/images/porcupine.png","somewhat familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","12","85882","0.0-12.0","p088","2","1","","","","","","90650.72","","","[""stims/images/lobster.png"",""stims/images/alpaca.png"",""stims/images/turtle.png"",""stims/images/narwhal.png"",""stims/images/tiger.png"",""stims/images/manatee.png"",""stims/images/echidna.png"",""stims/images/porcupine.png""]","porcupine","","somewhat familiar","pretest","2","stims/audio/find_porcupine.wav","7","stims/images/porcupine.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","87672","0.0-13.0","p088","2","1","","","","","","1788","","","[""stims/images/alpaca.png"",""stims/images/tiger.png"",""stims/images/turtle.png"",""stims/images/lobster.png"",""stims/images/narwhal.png"",""stims/images/manatee.png"",""stims/images/porcupine.png"",""stims/images/echidna.png""]","tiger","stims/images/tiger.png","familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","14","91302","0.0-14.0","p088","2","1","","","","","","96064.62133333333","","","[""stims/images/alpaca.png"",""stims/images/tiger.png"",""stims/images/turtle.png"",""stims/images/lobster.png"",""stims/images/narwhal.png"",""stims/images/manatee.png"",""stims/images/porcupine.png"",""stims/images/echidna.png""]","tiger","","familiar","pretest","2","stims/audio/find_tiger.wav","1","stims/images/tiger.png","1","","","","","","","","","","","","",""
