"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","4","0.0-0.0","p042","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","346","0.0-1.0","p042","4","3","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","42706","0.0-2.0","p042","4","3","","","","","","42364","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","47275","0.0-3.0","p042","4","3","","","","","","4568","","","[""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png""]","frog","stims/images/frog.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","51716","0.0-4.0","p042","4","3","","","","","","59933.01866666667","","","[""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png""]","frog","","familiar","practice_pretest","familiar","stims/audio/find_frog.wav","3","stims/images/frog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","53082","0.0-5.0","p042","4","3","","","","","","1364","","","[""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/wolf.png""]","butterfly","stims/images/butterfly.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","59144","0.0-6.0","p042","4","3","","","","","","67357.21066666667","","","[""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/wolf.png""]","butterfly","","familiar","practice_pretest","familiar","stims/audio/wheres_butterfly.wav","2","stims/images/butterfly.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","61477","0.0-7.0","p042","4","3","","","","","","2333","","","[""stims/images/narwhal.png"",""stims/images/dog.png"",""stims/images/turtle.png"",""stims/images/armadillo.png"",""stims/images/chameleon.png"",""stims/images/lobster.png"",""stims/images/porcupine.png"",""stims/images/wombat.png""]","porcupine","stims/images/porcupine.png","somewhat familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","8","68007","0.0-8.0","p042","4","3","","","","","","76212.816","","","[""stims/images/narwhal.png"",""stims/images/dog.png"",""stims/images/turtle.png"",""stims/images/armadillo.png"",""stims/images/chameleon.png"",""stims/images/lobster.png"",""stims/images/porcupine.png"",""stims/images/wombat.png""]","porcupine","","somewhat familiar","pretest","4","stims/audio/find_porcupine.wav","6","stims/images/porcupine.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","69922","0.0-9.0","p042","4","3","","","","","","1914","","","[""stims/images/wombat.png"",""stims/images/dog.png"",""stims/images/turtle.png"",""stims/images/chameleon.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png"",""stims/images/lobster.png""]","turtle","stims/images/turtle.png","familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","10","74067","0.0-10.0","p042","4","3","","","","","","82265.37066666668","","","[""stims/images/wombat.png"",""stims/images/dog.png"",""stims/images/turtle.png"",""stims/images/chameleon.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png"",""stims/images/narwhal.png"",""stims/images/lobster.png""]","turtle","","familiar","pretest","4","stims/audio/find_turtle.wav","2","stims/images/turtle.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","75810","0.0-11.0","p042","4","3","","","","","","1741.9999999999854","","","[""stims/images/lobster.png"",""stims/images/dog.png"",""stims/images/narwhal.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/wombat.png"",""stims/images/turtle.png"",""stims/images/armadillo.png""]","dog","stims/images/dog.png","familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","12","80040","0.0-12.0","p042","4","3","","","","","","88232.48266666666","","","[""stims/images/lobster.png"",""stims/images/dog.png"",""stims/images/narwhal.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/wombat.png"",""stims/images/turtle.png"",""stims/images/armadillo.png""]","dog","","familiar","pretest","4","stims/audio/find_dog.wav","1","stims/images/dog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","81345","0.0-13.0","p042","4","3","","","","","","1304","","","[""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/narwhal.png"",""stims/images/turtle.png"",""stims/images/porcupine.png"",""stims/images/chameleon.png"",""stims/images/wombat.png"",""stims/images/dog.png""]","narwhal","stims/images/narwhal.png","unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","14","87615","0.0-14.0","p042","4","3","","","","","","95802.94666666667","","","[""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/narwhal.png"",""stims/images/turtle.png"",""stims/images/porcupine.png"",""stims/images/chameleon.png"",""stims/images/wombat.png"",""stims/images/dog.png""]","narwhal","","unfamiliar","pretest","4","stims/audio/wheres_narwhal.wav","1","stims/images/lobster.png","0","","","","","","","","","","","","",""
