"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","3","0.0-0.0","p034","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","142","0.0-1.0","p034","3","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2768","0.0-2.0","p034","3","2","","","","","","2625","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","3787","0.0-3.0","p034","3","2","","","","","","1017","","","[""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","cat","stims/images/cat.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","21820","0.0-4.0","p034","3","2","","","","","","26022.32","","","[""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","cat","","familiar","practice_pretest","familiar","stims/audio/find_cat.wav","6","stims/images/cat.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","24465","0.0-5.0","p034","3","2","","","","","","2644","","","[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/cat.png""]","butterfly","stims/images/butterfly.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","35473","0.0-6.0","p034","3","2","","","","","","39655.63733333333","","","[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/cat.png""]","butterfly","","familiar","practice_pretest","familiar","stims/audio/find_butterfly.wav","2","stims/images/butterfly.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","40842","0.0-7.0","p034","3","2","","","","","","5369","","","[""stims/images/armadillo.png"",""stims/images/tapir.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/porcupine.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/bear.png""]","lobster","stims/images/lobster.png","somewhat familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","8","44453","0.0-8.0","p034","3","2","","","","","","48619.26133333334","","","[""stims/images/armadillo.png"",""stims/images/tapir.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/porcupine.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/bear.png""]","lobster","","somewhat familiar","pretest","3","stims/audio/find_lobster.wav","2","stims/images/lobster.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","49329","0.0-9.0","p034","3","2","","","","","","4875","","","[""stims/images/turtle.png"",""stims/images/bear.png"",""stims/images/porcupine.png"",""stims/images/lobster.png"",""stims/images/tapir.png"",""stims/images/pangolin.png"",""stims/images/armadillo.png"",""stims/images/antelope.png""]","pangolin","stims/images/pangolin.png","unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","10","55400","0.0-10.0","p034","3","2","","","","","","59558.776000000005","","","[""stims/images/turtle.png"",""stims/images/bear.png"",""stims/images/porcupine.png"",""stims/images/lobster.png"",""stims/images/tapir.png"",""stims/images/pangolin.png"",""stims/images/armadillo.png"",""stims/images/antelope.png""]","pangolin","","unfamiliar","pretest","3","stims/audio/find_pangolin.wav","4","stims/images/tapir.png","0","","","","","","","","","","","","",""
"coact-test-prompt","11","60086","0.0-11.0","p034","3","2","","","","","","4685","","","[""stims/images/pangolin.png"",""stims/images/turtle.png"",""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/lobster.png""]","antelope","stims/images/antelope.png","somewhat unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","12","64789","0.0-12.0","p034","3","2","","","","","","68937.01866666667","","","[""stims/images/pangolin.png"",""stims/images/turtle.png"",""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/lobster.png""]","antelope","","somewhat unfamiliar","pretest","3","stims/audio/wheres_antelope.wav","5","stims/images/porcupine.png","0","","","","","","","","","","","","",""
"coact-test-prompt","13","68958","0.0-13.0","p034","3","2","","","","","","4169","","","[""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/antelope.png"",""stims/images/tapir.png"",""stims/images/porcupine.png"",""stims/images/turtle.png"",""stims/images/pangolin.png"",""stims/images/bear.png""]","armadillo","stims/images/armadillo.png","somewhat unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","14","74936","0.0-14.0","p034","3","2","","","","","","79076.14666666667","","","[""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/antelope.png"",""stims/images/tapir.png"",""stims/images/porcupine.png"",""stims/images/turtle.png"",""stims/images/pangolin.png"",""stims/images/bear.png""]","armadillo","","somewhat unfamiliar","pretest","3","stims/audio/find_armadillo.wav","4","stims/images/porcupine.png","0","","","","","","","","","","","","",""
"coact-test-prompt","15","80231","0.0-15.0","p034","3","2","","","","","","5294","","","[""stims/images/tapir.png"",""stims/images/turtle.png"",""stims/images/pangolin.png"",""stims/images/porcupine.png"",""stims/images/antelope.png"",""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/bear.png""]","turtle","stims/images/turtle.png","familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","16","84606","0.0-16.0","p034","3","2","","","","","","88734.87466666667","","","[""stims/images/tapir.png"",""stims/images/turtle.png"",""stims/images/pangolin.png"",""stims/images/porcupine.png"",""stims/images/antelope.png"",""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/bear.png""]","turtle","","familiar","pretest","3","stims/audio/wheres_turtle.wav","1","stims/images/turtle.png","1","","","","","","","","","","","","",""
"coact-test-prompt","17","88868","0.0-17.0","p034","3","2","","","","","","4261.000000000015","","","[""stims/images/turtle.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/bear.png"",""stims/images/tapir.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/armadillo.png""]","tapir","stims/images/tapir.png","unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","18","93446","0.0-18.0","p034","3","2","","","","","","97567.23733333334","","","[""stims/images/turtle.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/bear.png"",""stims/images/tapir.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/armadillo.png""]","tapir","","unfamiliar","pretest","3","stims/audio/wheres_tapir.wav","4","stims/images/tapir.png","1","","","","","","","","","","","","",""
"coact-test-prompt","19","95011","0.0-19.0","p034","3","2","","","","","","1564","","","[""stims/images/pangolin.png"",""stims/images/bear.png"",""stims/images/tapir.png"",""stims/images/porcupine.png"",""stims/images/lobster.png"",""stims/images/armadillo.png"",""stims/images/turtle.png"",""stims/images/antelope.png""]","porcupine","stims/images/porcupine.png","somewhat familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","20","97958","0.0-20.0","p034","3","2","","","","","","102073.09333333334","","","[""stims/images/pangolin.png"",""stims/images/bear.png"",""stims/images/tapir.png"",""stims/images/porcupine.png"",""stims/images/lobster.png"",""stims/images/armadillo.png"",""stims/images/turtle.png"",""stims/images/antelope.png""]","porcupine","","somewhat familiar","pretest","3","stims/audio/wheres_porcupine.wav","3","stims/images/porcupine.png","1","","","","","","","","","","","","",""
"coact-test-prompt","21","99774","0.0-21.0","p034","3","2","","","","","","1815","","","[""stims/images/pangolin.png"",""stims/images/bear.png"",""stims/images/tapir.png"",""stims/images/antelope.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png""]","bear","stims/images/bear.png","familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","22","103411","0.0-22.0","p034","3","2","","","","","","107521.33066666668","","","[""stims/images/pangolin.png"",""stims/images/bear.png"",""stims/images/tapir.png"",""stims/images/antelope.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png""]","bear","","familiar","pretest","3","stims/audio/find_bear.wav","1","stims/images/bear.png","1","","","","","","","","","","","","",""
"html-button-response","23","114140","0.0-23.0","p034","3","2","","","","","","10727","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-grid","24","117768","0.0-24.0","p034","3","2","","","","","","2319","","","[""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/squirrel.png""]","","","","","familiar","","","","","[4,6]","[""stims/images/duck.png"",""stims/images/frog.png""]","[""duck"",""frog""]","[""stims/audio/thats_duck.wav"",""stims/audio/thats_frog.wav""]","right","[""stims/images/frog.png"",""stims/images/duck.png""]","[""stims/audio/thats_frog.wav"",""stims/audio/thats_duck.wav""]","[""frog"",""duck""]","passive","0","","",""
"coact-grid-choice","25","119221","0.0-25.0","p034","3","2","","","","","","1450","","","[""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/squirrel.png""]","","","","","familiar","","","stims/images/duck.png","","","[""stims/images/duck.png"",""stims/images/frog.png""]","","","","[""stims/images/frog.png"",""stims/images/duck.png""]","[""stims/audio/thats_frog.wav"",""stims/audio/thats_duck.wav""]","[""frog"",""duck""]","active","0","1","stims/audio/thats_duck.wav","[""stims/images/frog.png"",""stims/images/duck.png""]"
"coact-grid-choice-audio","26","122235","0.0-26.0","p034","3","2","","","","","","3000","","","[""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/squirrel.png""]","","","","","familiar","","","stims/images/duck.png","","","","","","","","","","active","0","","stims/audio/thats_duck.wav","[""stims/images/frog.png"",""stims/images/duck.png""]"
"coact-grid","27","127228","0.0-27.0","p034","3","2","","","","","","3687","","","[""stims/images/pangolin.png"",""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/bear.png""]","","","","","3","","","","","[2,4]","[""stims/images/lobster.png"",""stims/images/antelope.png""]","[""lobster"",""antelope""]","[""stims/audio/its_lobster.wav"",""stims/audio/its_antelope.wav""]","right","[""stims/images/antelope.png"",""stims/images/lobster.png""]","[""stims/audio/its_antelope.wav"",""stims/audio/its_lobster.wav""]","[""antelope"",""lobster""]","passive","0","","",""
"coact-grid-choice","28","129060","0.0-28.0","p034","3","2","","","","","","1831","","","[""stims/images/pangolin.png"",""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/bear.png""]","","","","","3","","","stims/images/lobster.png","","","[""stims/images/lobster.png"",""stims/images/antelope.png""]","","","","[""stims/images/antelope.png"",""stims/images/lobster.png""]","[""stims/audio/its_antelope.wav"",""stims/audio/its_lobster.wav""]","[""antelope"",""lobster""]","active","0","1","stims/audio/its_lobster.wav","[""stims/images/antelope.png"",""stims/images/lobster.png""]"
"coact-grid-choice-audio","29","132073","0.0-29.0","p034","3","2","","","","","","3003","","","[""stims/images/pangolin.png"",""stims/images/armadillo.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/antelope.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/bear.png""]","","","","","3","","","stims/images/lobster.png","","","","","","","","","","active","0","","stims/audio/its_lobster.wav","[""stims/images/antelope.png"",""stims/images/lobster.png""]"
"coact-grid","30","136243","0.0-30.0","p034","3","2","","","","","","2861.999999999971","","","[""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/antelope.png"",""stims/images/pangolin.png""]","","","","","3","","","","","[2,0]","[""stims/images/porcupine.png"",""stims/images/armadillo.png""]","[""porcupine"",""armadillo""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_armadillo.wav""]","left","[""stims/images/porcupine.png"",""stims/images/armadillo.png""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_armadillo.wav""]","[""porcupine"",""armadillo""]","passive","1","","",""
"coact-grid-choice","31","138364","0.0-31.0","p034","3","2","","","","","","2120","","","[""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/antelope.png"",""stims/images/pangolin.png""]","","","","","3","","","stims/images/armadillo.png","","","[""stims/images/porcupine.png"",""stims/images/armadillo.png""]","","","","[""stims/images/porcupine.png"",""stims/images/armadillo.png""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_armadillo.wav""]","[""porcupine"",""armadillo""]","active","1","1","stims/audio/thats_armadillo.wav","[""stims/images/porcupine.png"",""stims/images/armadillo.png""]"
"coact-grid-choice-audio","32","141374","0.0-32.0","p034","3","2","","","","","","3003","","","[""stims/images/armadillo.png"",""stims/images/bear.png"",""stims/images/porcupine.png"",""stims/images/tapir.png"",""stims/images/lobster.png"",""stims/images/turtle.png"",""stims/images/antelope.png"",""stims/images/pangolin.png""]","","","","","3","","","stims/images/armadillo.png","","","","","","","","","","active","1","","stims/audio/thats_armadillo.wav","[""stims/images/porcupine.png"",""stims/images/armadillo.png""]"
"coact-grid","33","145090","0.0-33.0","p034","3","2","","","","","","2410","","","[""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png"",""stims/images/bear.png"",""stims/images/turtle.png"",""stims/images/lobster.png"",""stims/images/tapir.png""]","","","","","3","","","","","[3,1]","[""stims/images/porcupine.png"",""stims/images/pangolin.png""]","[""porcupine"",""pangolin""]","[""stims/audio/its_porcupine.wav"",""stims/audio/its_pangolin.wav""]","left","[""stims/images/porcupine.png"",""stims/images/pangolin.png""]","[""stims/audio/its_porcupine.wav"",""stims/audio/its_pangolin.wav""]","[""porcupine"",""pangolin""]","passive","2","","",""
