"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","4","0.0-0.0","p060","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","493","0.0-1.0","p060","4","3","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","3923","0.0-2.0","p060","4","3","","","","","","3425","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","4704","0.0-3.0","p060","4","3","","","","","","780.0000000000018","","","[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/cow.png""]","squirrel","stims/images/squirrel.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","8544","0.0-4.0","p060","4","3","","","","","","13514.594666666666","","","[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/cow.png""]","squirrel","","familiar","practice_pretest","familiar","stims/audio/wheres_squirrel.wav","3","stims/images/squirrel.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","9214","0.0-5.0","p060","4","3","","","","","","669","","","[""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/cat.png""]","cat","stims/images/cat.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","11900","0.0-6.0","p060","4","3","","","","","","16869.08","","","[""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/cat.png""]","cat","","familiar","practice_pretest","familiar","stims/audio/find_cat.wav","7","stims/images/cat.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","13707","0.0-7.0","p060","4","3","","","","","","1806","","","[""stims/images/chameleon.png"",""stims/images/nyala.png"",""stims/images/bear.png"",""stims/images/hippopotamus.png"",""stims/images/turtle.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png"",""stims/images/manatee.png""]","chameleon","stims/images/chameleon.png","somewhat unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","8","17658","0.0-8.0","p060","4","3","","","","","","22623.589333333333","","","[""stims/images/chameleon.png"",""stims/images/nyala.png"",""stims/images/bear.png"",""stims/images/hippopotamus.png"",""stims/images/turtle.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png"",""stims/images/manatee.png""]","chameleon","","somewhat unfamiliar","pretest","4","stims/audio/find_chameleon.wav","0","stims/images/chameleon.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","18912","0.0-9.0","p060","4","3","","","","","","1252","","","[""stims/images/flamingo.png"",""stims/images/nyala.png"",""stims/images/turtle.png"",""stims/images/cormorant.png"",""stims/images/bear.png"",""stims/images/manatee.png"",""stims/images/chameleon.png"",""stims/images/hippopotamus.png""]","hippopotamus","stims/images/hippopotamus.png","somewhat familiar","pretest","4","","","","","","","","","","","","","","","","",""
