"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","4","0.0-0.0","p112","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","134","0.0-1.0","p112","4","3","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","832","0.0-2.0","p112","4","3","","","","","","697","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","6263","0.0-3.0","p112","4","3","","","","","","5430","","","[""stims/images/wolf.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/cow.png""]","cow","stims/images/cow.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","9288","0.0-4.0","p112","4","3","","","","","","12895.808000000003","","","[""stims/images/wolf.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/cow.png""]","cow","","familiar","practice_pretest","familiar","stims/audio/wheres_cow.wav","7","stims/images/cow.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","10098","0.0-5.0","p112","4","3","","","","","","808","","","[""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/frog.png""]","cat","stims/images/cat.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","15326","0.0-6.0","p112","4","3","","","","","","18929.97333333333","","","[""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/frog.png""]","cat","","familiar","practice_pretest","familiar","stims/audio/find_cat.wav","5","stims/images/cat.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","16527","0.0-7.0","p112","4","3","","","","","","1199","","","[""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/flamingo.png"",""stims/images/sloth.png"",""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/koala.png"",""stims/images/alpaca.png""]","wombat","stims/images/wombat.png","unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","8","23280","0.0-8.0","p112","4","3","","","","","","26878.544","","","[""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/flamingo.png"",""stims/images/sloth.png"",""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/koala.png"",""stims/images/alpaca.png""]","wombat","","unfamiliar","pretest","4","stims/audio/wheres_wombat.wav","0","stims/images/cormorant.png","0","","","","","","","","","","","","",""
"coact-test-prompt","9","26755","0.0-9.0","p112","4","3","","","","","","3474","","","[""stims/images/rabbit.png"",""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/koala.png"",""stims/images/elephant.png"",""stims/images/alpaca.png"",""stims/images/sloth.png"",""stims/images/wombat.png""]","rabbit","stims/images/rabbit.png","familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","10","30834","0.0-10.0","p112","4","3","","","","","","34422.31733333333","","","[""stims/images/rabbit.png"",""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/koala.png"",""stims/images/elephant.png"",""stims/images/alpaca.png"",""stims/images/sloth.png"",""stims/images/wombat.png""]","rabbit","","familiar","pretest","4","stims/audio/find_rabbit.wav","0","stims/images/rabbit.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","31535","0.0-11.0","p112","4","3","","","","","","699","","","[""stims/images/alpaca.png"",""stims/images/wombat.png"",""stims/images/elephant.png"",""stims/images/cormorant.png"",""stims/images/rabbit.png"",""stims/images/flamingo.png"",""stims/images/koala.png"",""stims/images/sloth.png""]","alpaca","stims/images/alpaca.png","somewhat unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","12","35404","0.0-12.0","p112","4","3","","","","","","38987.536","","","[""stims/images/alpaca.png"",""stims/images/wombat.png"",""stims/images/elephant.png"",""stims/images/cormorant.png"",""stims/images/rabbit.png"",""stims/images/flamingo.png"",""stims/images/koala.png"",""stims/images/sloth.png""]","alpaca","","somewhat unfamiliar","pretest","4","stims/audio/wheres_alpaca.wav","0","stims/images/alpaca.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","36120","0.0-13.0","p112","4","3","","","","","","716","","","[""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/wombat.png"",""stims/images/alpaca.png"",""stims/images/elephant.png"",""stims/images/rabbit.png"",""stims/images/sloth.png"",""stims/images/koala.png""]","koala","stims/images/koala.png","somewhat familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","14","39788","0.0-14.0","p112","4","3","","","","","","43366.952","","","[""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/wombat.png"",""stims/images/alpaca.png"",""stims/images/elephant.png"",""stims/images/rabbit.png"",""stims/images/sloth.png"",""stims/images/koala.png""]","koala","","somewhat familiar","pretest","4","stims/audio/find_koala.wav","7","stims/images/koala.png","1","","","","","","","","","","","","",""
"coact-test-prompt","15","40430","0.0-15.0","p112","4","3","","","","","","640","","","[""stims/images/elephant.png"",""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/wombat.png"",""stims/images/sloth.png"",""stims/images/alpaca.png"",""stims/images/rabbit.png"",""stims/images/koala.png""]","flamingo","stims/images/flamingo.png","somewhat familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","16","45718","0.0-16.0","p112","4","3","","","","","","49292.64266666667","","","[""stims/images/elephant.png"",""stims/images/cormorant.png"",""stims/images/flamingo.png"",""stims/images/wombat.png"",""stims/images/sloth.png"",""stims/images/alpaca.png"",""stims/images/rabbit.png"",""stims/images/koala.png""]","flamingo","","somewhat familiar","pretest","4","stims/audio/wheres_flamingo.wav","2","stims/images/flamingo.png","1","","","","","","","","","","","","",""
"coact-test-prompt","17","47019","0.0-17.0","p112","4","3","","","","","","1300","","","[""stims/images/flamingo.png"",""stims/images/rabbit.png"",""stims/images/elephant.png"",""stims/images/koala.png"",""stims/images/wombat.png"",""stims/images/cormorant.png"",""stims/images/sloth.png"",""stims/images/alpaca.png""]","sloth","stims/images/sloth.png","somewhat unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","18","51662","0.0-18.0","p112","4","3","","","","","","55230.05333333334","","","[""stims/images/flamingo.png"",""stims/images/rabbit.png"",""stims/images/elephant.png"",""stims/images/koala.png"",""stims/images/wombat.png"",""stims/images/cormorant.png"",""stims/images/sloth.png"",""stims/images/alpaca.png""]","sloth","","somewhat unfamiliar","pretest","4","stims/audio/find_sloth.wav","7","stims/images/alpaca.png","0","","","","","","","","","","","","",""
"coact-test-prompt","19","53189","0.0-19.0","p112","4","3","","","","","","1526.0000000000073","","","[""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/wombat.png"",""stims/images/koala.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png""]","cormorant","stims/images/cormorant.png","unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","20","61726","0.0-20.0","p112","4","3","","","","","","65288.882666666665","","","[""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/wombat.png"",""stims/images/koala.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png""]","cormorant","","unfamiliar","pretest","4","stims/audio/find_cormorant.wav","1","stims/images/sloth.png","0","","","","","","","","","","","","",""
"coact-test-prompt","21","62553","0.0-21.0","p112","4","3","","","","","","825","","","[""stims/images/cormorant.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/koala.png"",""stims/images/wombat.png"",""stims/images/flamingo.png""]","elephant","stims/images/elephant.png","familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","22","65867","0.0-22.0","p112","4","3","","","","","","69420.52","","","[""stims/images/cormorant.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/elephant.png"",""stims/images/sloth.png"",""stims/images/koala.png"",""stims/images/wombat.png"",""stims/images/flamingo.png""]","elephant","","familiar","pretest","4","stims/audio/wheres_elephant.wav","3","stims/images/elephant.png","1","","","","","","","","","","","","",""
"html-button-response","23","68572","0.0-23.0","p112","4","3","","","","","","2704","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-grid","24","78867","0.0-24.0","p112","4","3","","","","","","8989","","","[""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/butterfly.png""]","","","","","familiar","","","","","[0,3]","[""stims/images/squirrel.png"",""stims/images/wolf.png""]","[""squirrel"",""wolf""]","[""stims/audio/thats_squirrel.wav"",""stims/audio/thats_wolf.wav""]","left","[""stims/images/squirrel.png"",""stims/images/wolf.png""]","[""stims/audio/thats_squirrel.wav"",""stims/audio/thats_wolf.wav""]","[""squirrel"",""wolf""]","active","0","","",""
"coact-grid-choice","25","91276","0.0-25.0","p112","4","3","","","","","","12409","","","[""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/butterfly.png""]","","","","","familiar","","","stims/images/wolf.png","","","[""stims/images/squirrel.png"",""stims/images/wolf.png""]","","","","[""stims/images/squirrel.png"",""stims/images/wolf.png""]","[""stims/audio/thats_squirrel.wav"",""stims/audio/thats_wolf.wav""]","[""squirrel"",""wolf""]","active","0","1","stims/audio/thats_wolf.wav","[""stims/images/squirrel.png"",""stims/images/wolf.png""]"
"coact-grid-choice-audio","26","94287","0.0-26.0","p112","4","3","","","","","","3000","","","[""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/butterfly.png""]","","","","","familiar","","","stims/images/wolf.png","","","","","","","","","","active","0","","stims/audio/thats_wolf.wav","[""stims/images/squirrel.png"",""stims/images/wolf.png""]"
"coact-grid","27","101433","0.0-27.0","p112","4","3","","","","","","5836","","","[""stims/images/alpaca.png"",""stims/images/cormorant.png"",""stims/images/wombat.png"",""stims/images/rabbit.png"",""stims/images/elephant.png"",""stims/images/flamingo.png"",""stims/images/sloth.png"",""stims/images/koala.png""]","","","","","4","","","","","[6,3]","[""stims/images/sloth.png"",""stims/images/rabbit.png""]","[""sloth"",""rabbit""]","[""stims/audio/its_sloth.wav"",""stims/audio/its_rabbit.wav""]","right","[""stims/images/rabbit.png"",""stims/images/sloth.png""]","[""stims/audio/its_rabbit.wav"",""stims/audio/its_sloth.wav""]","[""rabbit"",""sloth""]","active","0","","",""
"coact-grid-choice","28","103216","0.0-28.0","p112","4","3","","","","","","1782.0000000000146","","","[""stims/images/alpaca.png"",""stims/images/cormorant.png"",""stims/images/wombat.png"",""stims/images/rabbit.png"",""stims/images/elephant.png"",""stims/images/flamingo.png"",""stims/images/sloth.png"",""stims/images/koala.png""]","","","","","4","","","stims/images/sloth.png","","","[""stims/images/sloth.png"",""stims/images/rabbit.png""]","","","","[""stims/images/rabbit.png"",""stims/images/sloth.png""]","[""stims/audio/its_rabbit.wav"",""stims/audio/its_sloth.wav""]","[""rabbit"",""sloth""]","active","0","1","stims/audio/its_sloth.wav","[""stims/images/rabbit.png"",""stims/images/sloth.png""]"
