"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","3","0.0-0.0","p101","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","351","0.0-1.0","p101","4","3","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","36836","0.0-2.0","p101","4","3","","","","","","36486","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","58089","0.0-3.0","p101","4","3","","","","","","21253","","","[""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/squirrel.png""]","frog","stims/images/frog.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","60778","0.0-4.0","p101","4","3","","","","","","78172.21333333333","","","[""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/squirrel.png""]","frog","","familiar","practice_pretest","familiar","stims/audio/find_frog.wav","6","stims/images/frog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","61910","0.0-5.0","p101","4","3","","","","","","1131","","","[""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/wolf.png""]","cow","stims/images/cow.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","67439","0.0-6.0","p101","4","3","","","","","","84829.39466666666","","","[""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/wolf.png""]","cow","","familiar","practice_pretest","familiar","stims/audio/wheres_cow.wav","0","stims/images/cow.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","68406","0.0-7.0","p101","4","3","","","","","","967","","","[""stims/images/lobster.png"",""stims/images/lynx.png"",""stims/images/echidna.png"",""stims/images/armadillo.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/dog.png"",""stims/images/pangolin.png""]","armadillo","stims/images/armadillo.png","somewhat unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","8","71514","0.0-8.0","p101","4","3","","","","","","88898.89866666666","","","[""stims/images/lobster.png"",""stims/images/lynx.png"",""stims/images/echidna.png"",""stims/images/armadillo.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/dog.png"",""stims/images/pangolin.png""]","armadillo","","somewhat unfamiliar","pretest","4","stims/audio/wheres_armadillo.wav","0","stims/images/lobster.png","0","","","","","","","","","","","","",""
"coact-test-prompt","9","72782","0.0-9.0","p101","4","3","","","","","","1267.0000000000146","","","[""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/dog.png"",""stims/images/lobster.png"",""stims/images/echidna.png"",""stims/images/raccoon.png"",""stims/images/armadillo.png""]","pangolin","stims/images/pangolin.png","unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","10","78387","0.0-10.0","p101","4","3","","","","","","95767.52266666667","","","[""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/dog.png"",""stims/images/lobster.png"",""stims/images/echidna.png"",""stims/images/raccoon.png"",""stims/images/armadillo.png""]","pangolin","","unfamiliar","pretest","4","stims/audio/wheres_pangolin.wav","7","stims/images/armadillo.png","0","","","","","","","","","","","","",""
"coact-test-prompt","11","79109","0.0-11.0","p101","4","3","","","","","","722","","","[""stims/images/pangolin.png"",""stims/images/raccoon.png"",""stims/images/echidna.png"",""stims/images/armadillo.png"",""stims/images/lynx.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/lobster.png""]","tiger","stims/images/tiger.png","familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","12","82964","0.0-12.0","p101","4","3","","","","","","100339.19733333333","","","[""stims/images/pangolin.png"",""stims/images/raccoon.png"",""stims/images/echidna.png"",""stims/images/armadillo.png"",""stims/images/lynx.png"",""stims/images/dog.png"",""stims/images/tiger.png"",""stims/images/lobster.png""]","tiger","","familiar","pretest","4","stims/audio/wheres_tiger.wav","4","stims/images/lynx.png","0","","","","","","","","","","","","",""
"coact-test-prompt","13","84137","0.0-13.0","p101","4","3","","","","","","1172","","","[""stims/images/raccoon.png"",""stims/images/tiger.png"",""stims/images/lynx.png"",""stims/images/echidna.png"",""stims/images/lobster.png"",""stims/images/dog.png"",""stims/images/armadillo.png"",""stims/images/pangolin.png""]","lynx","stims/images/lynx.png","somewhat unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","14","86756","0.0-14.0","p101","4","3","","","","","","104127.168","","","[""stims/images/raccoon.png"",""stims/images/tiger.png"",""stims/images/lynx.png"",""stims/images/echidna.png"",""stims/images/lobster.png"",""stims/images/dog.png"",""stims/images/armadillo.png"",""stims/images/pangolin.png""]","lynx","","somewhat unfamiliar","pretest","4","stims/audio/find_lynx.wav","4","stims/images/lobster.png","0","","","","","","","","","","","","",""
"coact-test-prompt","15","87116","0.0-15.0","p101","4","3","","","","","","357.99999999998545","","","[""stims/images/armadillo.png"",""stims/images/echidna.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/dog.png"",""stims/images/lynx.png""]","dog","stims/images/dog.png","familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","16","90320","0.0-16.0","p101","4","3","","","","","","107687.18933333333","","","[""stims/images/armadillo.png"",""stims/images/echidna.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/tiger.png"",""stims/images/raccoon.png"",""stims/images/dog.png"",""stims/images/lynx.png""]","dog","","familiar","pretest","4","stims/audio/find_dog.wav","6","stims/images/dog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","17","91299","0.0-17.0","p101","4","3","","","","","","977","","","[""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/lobster.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/armadillo.png""]","lobster","stims/images/lobster.png","somewhat familiar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","18","95078","0.0-18.0","p101","4","3","","","","","","112441.00533333333","","","[""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/lobster.png"",""stims/images/pangolin.png"",""stims/images/tiger.png"",""stims/images/lynx.png"",""stims/images/raccoon.png"",""stims/images/armadillo.png""]","lobster","","somewhat familiar","pretest","4","stims/audio/wheres_lobster.wav","2","stims/images/lobster.png","1","","","","","","","","","","","","",""
"coact-test-prompt","19","95979","0.0-19.0","p101","4","3","","","","","","900","","","[""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/raccoon.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/armadillo.png""]","echidna","stims/images/echidna.png","unfamiliar","pretest","4","","","","","","","","","","","","","","","","",""
"coact-test","20","100046","0.0-20.0","p101","4","3","","","","","","117406.32533333334","","","[""stims/images/lynx.png"",""stims/images/tiger.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/raccoon.png"",""stims/images/pangolin.png"",""stims/images/lobster.png"",""stims/images/armadillo.png""]","echidna","","unfamiliar","pretest","4","stims/audio/find_echidna.wav","2","stims/images/echidna.png","1","","","","","","","","","","","","",""
