"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","3","0.0-0.0","p046","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","125","0.0-1.0","p046","2","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","28338","0.0-2.0","p046","2","1","","","","","","28212","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","32497","0.0-3.0","p046","2","1","","","","","","4158","","","[""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/butterfly.png""]","frog","stims/images/frog.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","35638","0.0-4.0","p046","2","1","","","","","","40432.58666666667","","","[""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/butterfly.png""]","frog","","familiar","practice_pretest","familiar","stims/audio/find_frog.wav","6","stims/images/frog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","37072","0.0-5.0","p046","2","1","","","","","","1432","","","[""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/frog.png""]","horse","stims/images/horse.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","40143","0.0-6.0","p046","2","1","","","","","","44933.01066666667","","","[""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/frog.png""]","horse","","familiar","practice_pretest","familiar","stims/audio/wheres_horse.wav","0","stims/images/horse.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","41509","0.0-7.0","p046","2","1","","","","","","1364","","","[""stims/images/porcupine.png"",""stims/images/dog.png"",""stims/images/armadillo.png"",""stims/images/alpaca.png"",""stims/images/lobster.png"",""stims/images/wombat.png"",""stims/images/echidna.png"",""stims/images/rabbit.png""]","porcupine","stims/images/porcupine.png","somewhat familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","8","44498","0.0-8.0","p046","2","1","","","","","","49283.576","","","[""stims/images/porcupine.png"",""stims/images/dog.png"",""stims/images/armadillo.png"",""stims/images/alpaca.png"",""stims/images/lobster.png"",""stims/images/wombat.png"",""stims/images/echidna.png"",""stims/images/rabbit.png""]","porcupine","","somewhat familiar","pretest","2","stims/audio/wheres_porcupine.wav","0","stims/images/porcupine.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","46060","0.0-9.0","p046","2","1","","","","","","1561","","","[""stims/images/porcupine.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/alpaca.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/rabbit.png"",""stims/images/lobster.png""]","echidna","stims/images/echidna.png","unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","10","51207","0.0-10.0","p046","2","1","","","","","","55987.024","","","[""stims/images/porcupine.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/alpaca.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/rabbit.png"",""stims/images/lobster.png""]","echidna","","unfamiliar","pretest","2","stims/audio/find_echidna.wav","7","stims/images/lobster.png","0","","","","","","","","","","","","",""
"coact-test-prompt","11","53417","0.0-11.0","p046","2","1","","","","","","2209","","","[""stims/images/alpaca.png"",""stims/images/dog.png"",""stims/images/rabbit.png"",""stims/images/echidna.png"",""stims/images/lobster.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png""]","armadillo","stims/images/armadillo.png","somewhat unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","12","56803","0.0-12.0","p046","2","1","","","","","","61575.66933333333","","","[""stims/images/alpaca.png"",""stims/images/dog.png"",""stims/images/rabbit.png"",""stims/images/echidna.png"",""stims/images/lobster.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/porcupine.png""]","armadillo","","somewhat unfamiliar","pretest","2","stims/audio/wheres_armadillo.wav","6","stims/images/armadillo.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","58122","0.0-13.0","p046","2","1","","","","","","1317","","","[""stims/images/alpaca.png"",""stims/images/rabbit.png"",""stims/images/lobster.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/porcupine.png""]","dog","stims/images/dog.png","familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","14","60738","0.0-14.0","p046","2","1","","","","","","65506.96533333333","","","[""stims/images/alpaca.png"",""stims/images/rabbit.png"",""stims/images/lobster.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/porcupine.png""]","dog","","familiar","pretest","2","stims/audio/wheres_dog.wav","6","stims/images/dog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","15","62099","0.0-15.0","p046","2","1","","","","","","1359","","","[""stims/images/armadillo.png"",""stims/images/porcupine.png"",""stims/images/lobster.png"",""stims/images/echidna.png"",""stims/images/wombat.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/dog.png""]","wombat","stims/images/wombat.png","unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","16","65666","0.0-16.0","p046","2","1","","","","","","70429.98666666666","","","[""stims/images/armadillo.png"",""stims/images/porcupine.png"",""stims/images/lobster.png"",""stims/images/echidna.png"",""stims/images/wombat.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/dog.png""]","wombat","","unfamiliar","pretest","2","stims/audio/find_wombat.wav","6","stims/images/alpaca.png","0","","","","","","","","","","","","",""
"coact-test-prompt","17","67185","0.0-17.0","p046","2","1","","","","","","1519","","","[""stims/images/alpaca.png"",""stims/images/rabbit.png"",""stims/images/echidna.png"",""stims/images/lobster.png"",""stims/images/porcupine.png"",""stims/images/dog.png"",""stims/images/armadillo.png"",""stims/images/wombat.png""]","rabbit","stims/images/rabbit.png","familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","18","71603","0.0-18.0","p046","2","1","","","","","","76361.90133333333","","","[""stims/images/alpaca.png"",""stims/images/rabbit.png"",""stims/images/echidna.png"",""stims/images/lobster.png"",""stims/images/porcupine.png"",""stims/images/dog.png"",""stims/images/armadillo.png"",""stims/images/wombat.png""]","rabbit","","familiar","pretest","2","stims/audio/find_rabbit.wav","1","stims/images/rabbit.png","1","","","","","","","","","","","","",""
"coact-test-prompt","19","73055","0.0-19.0","p046","2","1","","","","","","1449","","","[""stims/images/armadillo.png"",""stims/images/alpaca.png"",""stims/images/echidna.png"",""stims/images/porcupine.png"",""stims/images/dog.png"",""stims/images/wombat.png"",""stims/images/lobster.png"",""stims/images/rabbit.png""]","lobster","stims/images/lobster.png","somewhat familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","20","75957","0.0-20.0","p046","2","1","","","","","","80711.032","","","[""stims/images/armadillo.png"",""stims/images/alpaca.png"",""stims/images/echidna.png"",""stims/images/porcupine.png"",""stims/images/dog.png"",""stims/images/wombat.png"",""stims/images/lobster.png"",""stims/images/rabbit.png""]","lobster","","somewhat familiar","pretest","2","stims/audio/find_lobster.wav","6","stims/images/lobster.png","1","","","","","","","","","","","","",""
"coact-test-prompt","21","77267","0.0-21.0","p046","2","1","","","","","","1308","","","[""stims/images/dog.png"",""stims/images/lobster.png"",""stims/images/rabbit.png"",""stims/images/porcupine.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/echidna.png"",""stims/images/alpaca.png""]","alpaca","stims/images/alpaca.png","somewhat unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","22","81079","0.0-22.0","p046","2","1","","","","","","85827.82133333334","","","[""stims/images/dog.png"",""stims/images/lobster.png"",""stims/images/rabbit.png"",""stims/images/porcupine.png"",""stims/images/wombat.png"",""stims/images/armadillo.png"",""stims/images/echidna.png"",""stims/images/alpaca.png""]","alpaca","","somewhat unfamiliar","pretest","2","stims/audio/wheres_alpaca.wav","7","stims/images/alpaca.png","1","","","","","","","","","","","","",""
"html-button-response","23","85246","0.0-23.0","p046","2","1","","","","","","4166","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-grid","24","98594","0.0-24.0","p046","2","1","","","","","","12039","","","[""stims/images/wolf.png"",""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/cow.png""]","","","","","familiar","","","","","[6,0]","[""stims/images/butterfly.png"",""stims/images/wolf.png""]","[""butterfly"",""wolf""]","[""stims/audio/thats_butterfly.wav"",""stims/audio/thats_wolf.wav""]","left","[""stims/images/butterfly.png"",""stims/images/wolf.png""]","[""stims/audio/thats_butterfly.wav"",""stims/audio/thats_wolf.wav""]","[""butterfly"",""wolf""]","active","0","","",""
"coact-grid-choice","25","104863","0.0-25.0","p046","2","1","","","","","","6266","","","[""stims/images/wolf.png"",""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/cow.png""]","","","","","familiar","","","stims/images/wolf.png","","","[""stims/images/butterfly.png"",""stims/images/wolf.png""]","","","","[""stims/images/butterfly.png"",""stims/images/wolf.png""]","[""stims/audio/thats_butterfly.wav"",""stims/audio/thats_wolf.wav""]","[""butterfly"",""wolf""]","active","0","1","stims/audio/thats_wolf.wav","[""stims/images/butterfly.png"",""stims/images/wolf.png""]"
"coact-grid-choice-audio","26","107874","0.0-26.0","p046","2","1","","","","","","3003","","","[""stims/images/wolf.png"",""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/butterfly.png"",""stims/images/cow.png""]","","","","","familiar","","","stims/images/wolf.png","","","","","","","","","","active","0","","stims/audio/thats_wolf.wav","[""stims/images/butterfly.png"",""stims/images/wolf.png""]"
"coact-grid","27","111642","0.0-27.0","p046","2","1","","","","","","2458","","","[""stims/images/lobster.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/porcupine.png"",""stims/images/wombat.png"",""stims/images/armadillo.png""]","","","","","2","","","","","[1,2]","[""stims/images/echidna.png"",""stims/images/dog.png""]","[""echidna"",""dog""]","[""stims/audio/thats_echidna.wav"",""stims/audio/thats_dog.wav""]","right","[""stims/images/dog.png"",""stims/images/echidna.png""]","[""stims/audio/thats_dog.wav"",""stims/audio/thats_echidna.wav""]","[""dog"",""echidna""]","active","0","","",""
