"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","3","0.0-0.0","p092","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","346","0.0-1.0","p092","1","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","64713","0.0-2.0","p092","1","0","","","","","","64370","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","67334","0.0-3.0","p092","1","0","","","","","","2619","","","[""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","cow","stims/images/cow.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","71295","0.0-4.0","p092","1","0","","","","","","80243.95733333334","","","[""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","cow","","familiar","practice_pretest","familiar","stims/audio/find_cow.wav","4","stims/images/cow.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","73713","0.0-5.0","p092","1","0","","","","","","2417.0000000000146","","","[""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png""]","wolf","stims/images/wolf.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","79674","0.0-6.0","p092","1","0","","","","","","88618.584","","","[""stims/images/wolf.png"",""stims/images/cow.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/frog.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png""]","wolf","","familiar","practice_pretest","familiar","stims/audio/find_wolf.wav","0","stims/images/wolf.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","81806","0.0-7.0","p092","1","0","","","","","","2131","","","[""stims/images/zebra.png"",""stims/images/dog.png"",""stims/images/sloth.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/lobster.png"",""stims/images/armadillo.png"",""stims/images/tarsier.png""]","zebra","stims/images/zebra.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","8","86692","0.0-8.0","p092","1","0","","","","","","95628.49066666668","","","[""stims/images/zebra.png"",""stims/images/dog.png"",""stims/images/sloth.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/lobster.png"",""stims/images/armadillo.png"",""stims/images/tarsier.png""]","zebra","","familiar","pretest","1","stims/audio/find_zebra.wav","0","stims/images/zebra.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","88344","0.0-9.0","p092","1","0","","","","","","1651","","","[""stims/images/narwhal.png"",""stims/images/zebra.png"",""stims/images/armadillo.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/dog.png"",""stims/images/dolphin.png"",""stims/images/lobster.png""]","narwhal","stims/images/narwhal.png","unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","10","93900","0.0-10.0","p092","1","0","","","","","","102829.952","","","[""stims/images/narwhal.png"",""stims/images/zebra.png"",""stims/images/armadillo.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/dog.png"",""stims/images/dolphin.png"",""stims/images/lobster.png""]","narwhal","","unfamiliar","pretest","1","stims/audio/find_narwhal.wav","0","stims/images/narwhal.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","95908","0.0-11.0","p092","1","0","","","","","","2007","","","[""stims/images/tarsier.png"",""stims/images/zebra.png"",""stims/images/sloth.png"",""stims/images/armadillo.png"",""stims/images/dolphin.png"",""stims/images/lobster.png"",""stims/images/dog.png"",""stims/images/narwhal.png""]","armadillo","stims/images/armadillo.png","somewhat unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","12","132514","0.0-12.0","p092","1","0","","","","","","141439.38933333333","","","[""stims/images/tarsier.png"",""stims/images/zebra.png"",""stims/images/sloth.png"",""stims/images/armadillo.png"",""stims/images/dolphin.png"",""stims/images/lobster.png"",""stims/images/dog.png"",""stims/images/narwhal.png""]","armadillo","","somewhat unfamiliar","pretest","1","stims/audio/find_armadillo.wav","0","stims/images/tarsier.png","0","","","","","","","","","","","","",""
"coact-test-prompt","13","134351","0.0-13.0","p092","1","0","","","","","","1835","","","[""stims/images/dog.png"",""stims/images/dolphin.png"",""stims/images/armadillo.png"",""stims/images/sloth.png"",""stims/images/zebra.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/narwhal.png""]","sloth","stims/images/sloth.png","somewhat unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","14","148632","0.0-14.0","p092","1","0","","","","","","157519.94666666666","","","[""stims/images/dog.png"",""stims/images/dolphin.png"",""stims/images/armadillo.png"",""stims/images/sloth.png"",""stims/images/zebra.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/narwhal.png""]","sloth","","somewhat unfamiliar","pretest","1","stims/audio/wheres_sloth.wav","3","stims/images/sloth.png","1","","","","","","","","","","","","",""
"coact-test-prompt","15","150083","0.0-15.0","p092","1","0","","","","","","1450","","","[""stims/images/lobster.png"",""stims/images/armadillo.png"",""stims/images/dog.png"",""stims/images/zebra.png"",""stims/images/narwhal.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/dolphin.png""]","dog","stims/images/dog.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","16","152959","0.0-16.0","p092","1","0","","","","","","161831.21333333335","","","[""stims/images/lobster.png"",""stims/images/armadillo.png"",""stims/images/dog.png"",""stims/images/zebra.png"",""stims/images/narwhal.png"",""stims/images/tarsier.png"",""stims/images/sloth.png"",""stims/images/dolphin.png""]","dog","","familiar","pretest","1","stims/audio/wheres_dog.wav","2","stims/images/dog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","17","154392","0.0-17.0","p092","1","0","","","","","","1432","","","[""stims/images/sloth.png"",""stims/images/armadillo.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/zebra.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/dog.png""]","tarsier","stims/images/tarsier.png","unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","18","163815","0.0-18.0","p092","1","0","","","","","","172682.90400000004","","","[""stims/images/sloth.png"",""stims/images/armadillo.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/zebra.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/dog.png""]","tarsier","","unfamiliar","pretest","1","stims/audio/wheres_tarsier.wav","1","stims/images/armadillo.png","0","","","","","","","","","","","","",""
