"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","3","0.0-0.0","p005","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","277","0.0-1.0","p005","2","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","16451","0.0-2.0","p005","2","1","","","","","","16175","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","17479","0.0-3.0","p005","2","1","","","","","","1026","","","[""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/wolf.png"",""stims/images/cow.png""]","cow","stims/images/cow.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","22589","0.0-4.0","p005","2","1","","","","","","28042.592000000004","","","[""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/wolf.png"",""stims/images/cow.png""]","cow","","familiar","practice_pretest","familiar","stims/audio/wheres_cow.wav","7","stims/images/cow.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","24057","0.0-5.0","p005","2","1","","","","","","1467","","","[""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/wolf.png""]","butterfly","stims/images/butterfly.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","27150","0.0-6.0","p005","2","1","","","","","","32598.016","","","[""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/cow.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/wolf.png""]","butterfly","","familiar","practice_pretest","familiar","stims/audio/wheres_butterfly.wav","3","stims/images/butterfly.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","27308","0.0-7.0","p005","2","1","","","","","","157","","","[""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/sloth.png"",""stims/images/wombat.png"",""stims/images/rabbit.png"",""stims/images/narwhal.png"",""stims/images/manatee.png"",""stims/images/bear.png""]","wombat","stims/images/wombat.png","unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","8","35080","0.0-8.0","p005","2","1","","","","","","40524.768","","","[""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/sloth.png"",""stims/images/wombat.png"",""stims/images/rabbit.png"",""stims/images/narwhal.png"",""stims/images/manatee.png"",""stims/images/bear.png""]","wombat","","unfamiliar","pretest","2","stims/audio/wheres_wombat.wav","0","stims/images/raccoon.png","0","","","","","","","","","","","","",""
"coact-test-prompt","9","36188","0.0-9.0","p005","2","1","","","","","","1107","","","[""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/manatee.png"",""stims/images/sloth.png"",""stims/images/narwhal.png"",""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/bear.png""]","dolphin","stims/images/dolphin.png","somewhat familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","10","39332","0.0-10.0","p005","2","1","","","","","","44768.88533333333","","","[""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/manatee.png"",""stims/images/sloth.png"",""stims/images/narwhal.png"",""stims/images/raccoon.png"",""stims/images/dolphin.png"",""stims/images/bear.png""]","dolphin","","somewhat familiar","pretest","2","stims/audio/find_dolphin.wav","6","stims/images/dolphin.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","40290","0.0-11.0","p005","2","1","","","","","","957","","","[""stims/images/rabbit.png"",""stims/images/manatee.png"",""stims/images/wombat.png"",""stims/images/narwhal.png"",""stims/images/sloth.png"",""stims/images/bear.png"",""stims/images/dolphin.png"",""stims/images/raccoon.png""]","bear","stims/images/bear.png","familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","12","44667","0.0-12.0","p005","2","1","","","","","","50100.784","","","[""stims/images/rabbit.png"",""stims/images/manatee.png"",""stims/images/wombat.png"",""stims/images/narwhal.png"",""stims/images/sloth.png"",""stims/images/bear.png"",""stims/images/dolphin.png"",""stims/images/raccoon.png""]","bear","","familiar","pretest","2","stims/audio/wheres_bear.wav","5","stims/images/bear.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","46386","0.0-13.0","p005","2","1","","","","","","1717","","","[""stims/images/dolphin.png"",""stims/images/narwhal.png"",""stims/images/bear.png"",""stims/images/manatee.png"",""stims/images/raccoon.png"",""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/sloth.png""]","raccoon","stims/images/raccoon.png","somewhat familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","14","51723","0.0-14.0","p005","2","1","","","","","","57149.688","","","[""stims/images/dolphin.png"",""stims/images/narwhal.png"",""stims/images/bear.png"",""stims/images/manatee.png"",""stims/images/raccoon.png"",""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/sloth.png""]","raccoon","","somewhat familiar","pretest","2","stims/audio/find_raccoon.wav","4","stims/images/raccoon.png","1","","","","","","","","","","","","",""
"coact-test-prompt","15","51814","0.0-15.0","p005","2","1","","","","","","90","","","[""stims/images/rabbit.png"",""stims/images/raccoon.png"",""stims/images/manatee.png"",""stims/images/sloth.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/wombat.png"",""stims/images/bear.png""]","narwhal","stims/images/narwhal.png","unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","16","56526","0.0-16.0","p005","2","1","","","","","","61947.264","","","[""stims/images/rabbit.png"",""stims/images/raccoon.png"",""stims/images/manatee.png"",""stims/images/sloth.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/wombat.png"",""stims/images/bear.png""]","narwhal","","unfamiliar","pretest","2","stims/audio/find_narwhal.wav","4","stims/images/narwhal.png","1","","","","","","","","","","","","",""
"coact-test-prompt","17","56851","0.0-17.0","p005","2","1","","","","","","324","","","[""stims/images/wombat.png"",""stims/images/bear.png"",""stims/images/sloth.png"",""stims/images/manatee.png"",""stims/images/dolphin.png"",""stims/images/rabbit.png"",""stims/images/narwhal.png"",""stims/images/raccoon.png""]","manatee","stims/images/manatee.png","somewhat unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","18","63772","0.0-18.0","p005","2","1","","","","","","69189.224","","","[""stims/images/wombat.png"",""stims/images/bear.png"",""stims/images/sloth.png"",""stims/images/manatee.png"",""stims/images/dolphin.png"",""stims/images/rabbit.png"",""stims/images/narwhal.png"",""stims/images/raccoon.png""]","manatee","","somewhat unfamiliar","pretest","2","stims/audio/find_manatee.wav","2","stims/images/sloth.png","0","","","","","","","","","","","","",""
"coact-test-prompt","19","64730","0.0-19.0","p005","2","1","","","","","","958","","","[""stims/images/raccoon.png"",""stims/images/rabbit.png"",""stims/images/bear.png"",""stims/images/sloth.png"",""stims/images/wombat.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/manatee.png""]","sloth","stims/images/sloth.png","somewhat unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","20","68609","0.0-20.0","p005","2","1","","","","","","74018.344","","","[""stims/images/raccoon.png"",""stims/images/rabbit.png"",""stims/images/bear.png"",""stims/images/sloth.png"",""stims/images/wombat.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/manatee.png""]","sloth","","somewhat unfamiliar","pretest","2","stims/audio/wheres_sloth.wav","3","stims/images/sloth.png","1","","","","","","","","","","","","",""
"coact-test-prompt","21","68967","0.0-21.0","p005","2","1","","","","","","357.99999999998545","","","[""stims/images/sloth.png"",""stims/images/dolphin.png"",""stims/images/rabbit.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/raccoon.png"",""stims/images/wombat.png"",""stims/images/manatee.png""]","rabbit","stims/images/rabbit.png","familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","22","72458","0.0-22.0","p005","2","1","","","","","","77864.10666666667","","","[""stims/images/sloth.png"",""stims/images/dolphin.png"",""stims/images/rabbit.png"",""stims/images/bear.png"",""stims/images/narwhal.png"",""stims/images/raccoon.png"",""stims/images/wombat.png"",""stims/images/manatee.png""]","rabbit","","familiar","pretest","2","stims/audio/wheres_rabbit.wav","2","stims/images/rabbit.png","1","","","","","","","","","","","","",""
"html-button-response","23","92986","0.0-23.0","p005","2","1","","","","","","20527.000000000015","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-grid","24","97912","0.0-24.0","p005","2","1","","","","","","3618","","","[""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/duck.png""]","","","","","familiar","","","","","[6,1]","[""stims/images/cow.png"",""stims/images/squirrel.png""]","[""cow"",""squirrel""]","[""stims/audio/thats_cow.wav"",""stims/audio/thats_squirrel.wav""]","right","[""stims/images/squirrel.png"",""stims/images/cow.png""]","[""stims/audio/thats_squirrel.wav"",""stims/audio/thats_cow.wav""]","[""squirrel"",""cow""]","active","0","","",""
"coact-grid-choice","25","101260","0.0-25.0","p005","2","1","","","","","","3347","","","[""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/duck.png""]","","","","","familiar","","","stims/images/cow.png","","","[""stims/images/cow.png"",""stims/images/squirrel.png""]","","","","[""stims/images/squirrel.png"",""stims/images/cow.png""]","[""stims/audio/thats_squirrel.wav"",""stims/audio/thats_cow.wav""]","[""squirrel"",""cow""]","passive","0","1","stims/audio/thats_cow.wav","[""stims/images/squirrel.png"",""stims/images/cow.png""]"
"coact-grid-choice-audio","26","104269","0.0-26.0","p005","2","1","","","","","","3000","","","[""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/butterfly.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/frog.png"",""stims/images/cow.png"",""stims/images/duck.png""]","","","","","familiar","","","stims/images/cow.png","","","","","","","","","","passive","0","","stims/audio/thats_cow.wav","[""stims/images/squirrel.png"",""stims/images/cow.png""]"
"coact-grid","27","109323","0.0-27.0","p005","2","1","","","","","","3747","","","[""stims/images/manatee.png"",""stims/images/rabbit.png"",""stims/images/bear.png"",""stims/images/sloth.png"",""stims/images/raccoon.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/wombat.png""]","","","","","2","","","","","[4,3]","[""stims/images/raccoon.png"",""stims/images/sloth.png""]","[""raccoon"",""sloth""]","[""stims/audio/its_raccoon.wav"",""stims/audio/its_sloth.wav""]","left","[""stims/images/raccoon.png"",""stims/images/sloth.png""]","[""stims/audio/its_raccoon.wav"",""stims/audio/its_sloth.wav""]","[""raccoon"",""sloth""]","active","0","","",""
"coact-grid-choice","28","110999","0.0-28.0","p005","2","1","","","","","","1675","","","[""stims/images/manatee.png"",""stims/images/rabbit.png"",""stims/images/bear.png"",""stims/images/sloth.png"",""stims/images/raccoon.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/wombat.png""]","","","","","2","","","stims/images/sloth.png","","","[""stims/images/raccoon.png"",""stims/images/sloth.png""]","","","","[""stims/images/raccoon.png"",""stims/images/sloth.png""]","[""stims/audio/its_raccoon.wav"",""stims/audio/its_sloth.wav""]","[""raccoon"",""sloth""]","passive","0","1","stims/audio/its_sloth.wav","[""stims/images/raccoon.png"",""stims/images/sloth.png""]"
"coact-grid-choice-audio","29","114007","0.0-29.0","p005","2","1","","","","","","3000","","","[""stims/images/manatee.png"",""stims/images/rabbit.png"",""stims/images/bear.png"",""stims/images/sloth.png"",""stims/images/raccoon.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/wombat.png""]","","","","","2","","","stims/images/sloth.png","","","","","","","","","","passive","0","","stims/audio/its_sloth.wav","[""stims/images/raccoon.png"",""stims/images/sloth.png""]"
