"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","2","0.0-0.0","p076","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","341","0.0-1.0","p076","1","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","27511","0.0-2.0","p076","1","0","","","","","","27169","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","33868","0.0-3.0","p076","1","0","","","","","","6354","","","[""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/squirrel.png""]","cow","stims/images/cow.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","42940","0.0-4.0","p076","1","0","","","","","","57454.42133333333","","","[""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/frog.png"",""stims/images/squirrel.png""]","cow","","familiar","practice_pretest","familiar","stims/audio/wheres_cow.wav","2","stims/images/cow.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","51543","0.0-5.0","p076","1","0","","","","","","8601","","","[""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/wolf.png""]","wolf","stims/images/wolf.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","60777","0.0-6.0","p076","1","0","","","","","","75272.752","","","[""stims/images/frog.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/cat.png"",""stims/images/butterfly.png"",""stims/images/wolf.png""]","wolf","","familiar","practice_pretest","familiar","stims/audio/find_wolf.wav","7","stims/images/wolf.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","70973","0.0-7.0","p076","1","0","","","","","","10194","","","[""stims/images/dog.png"",""stims/images/zebra.png"",""stims/images/sloth.png"",""stims/images/lobster.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/tarsier.png"",""stims/images/armadillo.png""]","dog","stims/images/dog.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","8","77402","0.0-8.0","p076","1","0","","","","","","91878.32266666666","","","[""stims/images/dog.png"",""stims/images/zebra.png"",""stims/images/sloth.png"",""stims/images/lobster.png"",""stims/images/narwhal.png"",""stims/images/dolphin.png"",""stims/images/tarsier.png"",""stims/images/armadillo.png""]","dog","","familiar","pretest","1","stims/audio/find_dog.wav","0","stims/images/dog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","85959","0.0-9.0","p076","1","0","","","","","","8556","","","[""stims/images/lobster.png"",""stims/images/narwhal.png"",""stims/images/zebra.png"",""stims/images/sloth.png"",""stims/images/tarsier.png"",""stims/images/dolphin.png"",""stims/images/armadillo.png"",""stims/images/dog.png""]","dolphin","stims/images/dolphin.png","somewhat familiar","pretest","1","","","","","","","","","","","","","","","","",""
