"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","3","0.0-0.0","p107","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","132","0.0-1.0","p107","3","2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","13328","0.0-2.0","p107","3","2","","","","","","13196","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","24914","0.0-3.0","p107","3","2","","","","","","11581.000000000004","","","[""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/butterfly.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/duck.png""]","butterfly","stims/images/butterfly.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","28619","0.0-4.0","p107","3","2","","","","","","31733.152","","","[""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/butterfly.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/duck.png""]","butterfly","","familiar","practice_pretest","familiar","stims/audio/wheres_butterfly.wav","2","stims/images/butterfly.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","33663","0.0-5.0","p107","3","2","","","","","","5042.999999999996","","","[""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/frog.png""]","duck","stims/images/duck.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","38124","0.0-6.0","p107","3","2","","","","","","41229.405333333336","","","[""stims/images/duck.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/cat.png"",""stims/images/wolf.png"",""stims/images/frog.png""]","duck","","familiar","practice_pretest","familiar","stims/audio/wheres_duck.wav","0","stims/images/duck.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","40558","0.0-7.0","p107","3","2","","","","","","2433","","","[""stims/images/chameleon.png"",""stims/images/tapir.png"",""stims/images/raccoon.png"",""stims/images/jaguar.png"",""stims/images/echidna.png"",""stims/images/bear.png"",""stims/images/dog.png"",""stims/images/armadillo.png""]","raccoon","stims/images/raccoon.png","somewhat familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","8","46295","0.0-8.0","p107","3","2","","","","","","49394.512","","","[""stims/images/chameleon.png"",""stims/images/tapir.png"",""stims/images/raccoon.png"",""stims/images/jaguar.png"",""stims/images/echidna.png"",""stims/images/bear.png"",""stims/images/dog.png"",""stims/images/armadillo.png""]","raccoon","","somewhat familiar","pretest","3","stims/audio/wheres_raccoon.wav","4","stims/images/echidna.png","0","","","","","","","","","","","","",""
"coact-test-prompt","9","47960","0.0-9.0","p107","3","2","","","","","","1664","","","[""stims/images/bear.png"",""stims/images/echidna.png"",""stims/images/armadillo.png"",""stims/images/jaguar.png"",""stims/images/raccoon.png"",""stims/images/dog.png"",""stims/images/chameleon.png"",""stims/images/tapir.png""]","jaguar","stims/images/jaguar.png","somewhat familiar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","10","52532","0.0-10.0","p107","3","2","","","","","","55624.10933333334","","","[""stims/images/bear.png"",""stims/images/echidna.png"",""stims/images/armadillo.png"",""stims/images/jaguar.png"",""stims/images/raccoon.png"",""stims/images/dog.png"",""stims/images/chameleon.png"",""stims/images/tapir.png""]","jaguar","","somewhat familiar","pretest","3","stims/audio/find_jaguar.wav","3","stims/images/jaguar.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","55035","0.0-11.0","p107","3","2","","","","","","2501.9999999999927","","","[""stims/images/raccoon.png"",""stims/images/armadillo.png"",""stims/images/tapir.png"",""stims/images/chameleon.png"",""stims/images/echidna.png"",""stims/images/jaguar.png"",""stims/images/bear.png"",""stims/images/dog.png""]","armadillo","stims/images/armadillo.png","somewhat unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
"coact-test","12","58793","0.0-12.0","p107","3","2","","","","","","61879.034666666674","","","[""stims/images/raccoon.png"",""stims/images/armadillo.png"",""stims/images/tapir.png"",""stims/images/chameleon.png"",""stims/images/echidna.png"",""stims/images/jaguar.png"",""stims/images/bear.png"",""stims/images/dog.png""]","armadillo","","somewhat unfamiliar","pretest","3","stims/audio/find_armadillo.wav","1","stims/images/armadillo.png","1","","","","","","","","","","","","",""
"coact-test-prompt","13","63443","0.0-13.0","p107","3","2","","","","","","4648.999999999993","","","[""stims/images/jaguar.png"",""stims/images/tapir.png"",""stims/images/raccoon.png"",""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/armadillo.png"",""stims/images/chameleon.png"",""stims/images/bear.png""]","tapir","stims/images/tapir.png","unfamiliar","pretest","3","","","","","","","","","","","","","","","","",""
