"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","seed","condition_index","condition_order","condition_vector","condition_name","fam_stims","round_stims","fam_test_index","rt","response"
"pavlovia","0","5","0.0-0.0","p042","init","init","103","11","[2,0,3,1]","[[""active"",""passive""],[""active"",""active""],[""passive"",""passive""],[""passive"",""active""]]","[""active_passive"",""active_active"",""passive_passive"",""passive_active""]","[{""name"":""duck"",""item_type"":""familiar""},{""name"":""cat"",""item_type"":""familiar""},{""name"":""cow"",""item_type"":""familiar""},{""name"":""butterfly"",""item_type"":""familiar""},{""name"":""horse"",""item_type"":""familiar""},{""name"":""frog"",""item_type"":""familiar""},{""name"":""squirrel"",""item_type"":""familiar""},{""name"":""wolf"",""item_type"":""familiar""}]","[[{""name"":""lynx"",""item_type"":""somewhat unfamiliar""},{""name"":""jaguar"",""item_type"":""somewhat familiar""},{""name"":""tapir"",""item_type"":""unfamiliar""},{""name"":""zebra"",""item_type"":""familiar""},{""name"":""aardvark"",""item_type"":""somewhat unfamiliar""},{""name"":""elephant"",""item_type"":""familiar""},{""name"":""nyala"",""item_type"":""unfamiliar""},{""name"":""dolphin"",""item_type"":""somewhat familiar""}],[{""name"":""bear"",""item_type"":""familiar""},{""name"":""koala"",""item_type"":""somewhat familiar""},{""name"":""manatee"",""item_type"":""somewhat unfamiliar""},{""name"":""sloth"",""item_type"":""somewhat unfamiliar""},{""name"":""cormorant"",""item_type"":""unfamiliar""},{""name"":""rabbit"",""item_type"":""familiar""},{""name"":""hippopotamus"",""item_type"":""somewhat familiar""},{""name"":""echidna"",""item_type"":""unfamiliar""}],[{""name"":""flamingo"",""item_type"":""somewhat familiar""},{""name"":""pig"",""item_type"":""familiar""},{""name"":""alpaca"",""item_type"":""somewhat unfamiliar""},{""name"":""tiger"",""item_type"":""familiar""},{""name"":""pangolin"",""item_type"":""unfamiliar""},{""name"":""tarsier"",""item_type"":""unfamiliar""},{""name"":""antelope"",""item_type"":""somewhat unfamiliar""},{""name"":""raccoon"",""item_type"":""somewhat familiar""}],[{""name"":""narwhal"",""item_type"":""unfamiliar""},{""name"":""chameleon"",""item_type"":""somewhat unfamiliar""},{""name"":""turtle"",""item_type"":""familiar""},{""name"":""dog"",""item_type"":""familiar""},{""name"":""porcupine"",""item_type"":""somewhat familiar""},{""name"":""lobster"",""item_type"":""somewhat familiar""},{""name"":""wombat"",""item_type"":""unfamiliar""},{""name"":""armadillo"",""item_type"":""somewhat unfamiliar""}]]","[[6,2],[1,4],[7,0],[5,3]]","",""
"survey-text","1","9178","0.0-1.0","p042","init","init","103","11","[2,0,3,1]","[[""active"",""passive""],[""active"",""active""],[""passive"",""passive""],[""passive"",""active""]]","[""active_passive"",""active_active"",""passive_passive"",""passive_active""]","[{""name"":""duck"",""item_type"":""familiar""},{""name"":""cat"",""item_type"":""familiar""},{""name"":""cow"",""item_type"":""familiar""},{""name"":""butterfly"",""item_type"":""familiar""},{""name"":""horse"",""item_type"":""familiar""},{""name"":""frog"",""item_type"":""familiar""},{""name"":""squirrel"",""item_type"":""familiar""},{""name"":""wolf"",""item_type"":""familiar""}]","[[{""name"":""lynx"",""item_type"":""somewhat unfamiliar""},{""name"":""jaguar"",""item_type"":""somewhat familiar""},{""name"":""tapir"",""item_type"":""unfamiliar""},{""name"":""zebra"",""item_type"":""familiar""},{""name"":""aardvark"",""item_type"":""somewhat unfamiliar""},{""name"":""elephant"",""item_type"":""familiar""},{""name"":""nyala"",""item_type"":""unfamiliar""},{""name"":""dolphin"",""item_type"":""somewhat familiar""}],[{""name"":""bear"",""item_type"":""familiar""},{""name"":""koala"",""item_type"":""somewhat familiar""},{""name"":""manatee"",""item_type"":""somewhat unfamiliar""},{""name"":""sloth"",""item_type"":""somewhat unfamiliar""},{""name"":""cormorant"",""item_type"":""unfamiliar""},{""name"":""rabbit"",""item_type"":""familiar""},{""name"":""hippopotamus"",""item_type"":""somewhat familiar""},{""name"":""echidna"",""item_type"":""unfamiliar""}],[{""name"":""flamingo"",""item_type"":""somewhat familiar""},{""name"":""pig"",""item_type"":""familiar""},{""name"":""alpaca"",""item_type"":""somewhat unfamiliar""},{""name"":""tiger"",""item_type"":""familiar""},{""name"":""pangolin"",""item_type"":""unfamiliar""},{""name"":""tarsier"",""item_type"":""unfamiliar""},{""name"":""antelope"",""item_type"":""somewhat unfamiliar""},{""name"":""raccoon"",""item_type"":""somewhat familiar""}],[{""name"":""narwhal"",""item_type"":""unfamiliar""},{""name"":""chameleon"",""item_type"":""somewhat unfamiliar""},{""name"":""turtle"",""item_type"":""familiar""},{""name"":""dog"",""item_type"":""familiar""},{""name"":""porcupine"",""item_type"":""somewhat familiar""},{""name"":""lobster"",""item_type"":""somewhat familiar""},{""name"":""wombat"",""item_type"":""unfamiliar""},{""name"":""armadillo"",""item_type"":""somewhat unfamiliar""}]]","[[6,2],[1,4],[7,0],[5,3]]","9169","{""condition"":""11"",""seed"":""103""}"
