"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","4","0.0-0.0","p100","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","339","0.0-1.0","p100","2","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","3089","0.0-2.0","p100","2","1","","","","","","2749","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","7831","0.0-3.0","p100","2","1","","","","","","4740","","","[""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","frog","stims/images/frog.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","10878","0.0-4.0","p100","2","1","","","","","","24227.466666666667","","","[""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/horse.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","frog","","familiar","practice_pretest","familiar","stims/audio/wheres_frog.wav","3","stims/images/frog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","11060","0.0-5.0","p100","2","1","","","","","","180","","","[""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","duck","stims/images/duck.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","14767","0.0-6.0","p100","2","1","","","","","","28113.240000000005","","","[""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/frog.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/squirrel.png""]","duck","","familiar","practice_pretest","familiar","stims/audio/wheres_duck.wav","6","stims/images/duck.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","15280","0.0-7.0","p100","2","1","","","","","","512","","","[""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/tapir.png"",""stims/images/flamingo.png"",""stims/images/aardvark.png"",""stims/images/raccoon.png"",""stims/images/lynx.png"",""stims/images/rabbit.png""]","lynx","stims/images/lynx.png","somewhat unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","8","43365","0.0-8.0","p100","2","1","","","","","","56708.02133333333","","","[""stims/images/echidna.png"",""stims/images/dog.png"",""stims/images/tapir.png"",""stims/images/flamingo.png"",""stims/images/aardvark.png"",""stims/images/raccoon.png"",""stims/images/lynx.png"",""stims/images/rabbit.png""]","lynx","","somewhat unfamiliar","pretest","2","stims/audio/find_lynx.wav","4","stims/images/aardvark.png","0","","","","","","","","","","","","",""
"coact-test-prompt","9","46288","0.0-9.0","p100","2","1","","","","","","2922","","","[""stims/images/flamingo.png"",""stims/images/dog.png"",""stims/images/raccoon.png"",""stims/images/rabbit.png"",""stims/images/lynx.png"",""stims/images/echidna.png"",""stims/images/aardvark.png"",""stims/images/tapir.png""]","dog","stims/images/dog.png","familiar","pretest","2","","","","","","","","","","","","","","","","",""
"coact-test","10","49108","0.0-10.0","p100","2","1","","","","","","62420.01066666667","","","[""stims/images/flamingo.png"",""stims/images/dog.png"",""stims/images/raccoon.png"",""stims/images/rabbit.png"",""stims/images/lynx.png"",""stims/images/echidna.png"",""stims/images/aardvark.png"",""stims/images/tapir.png""]","dog","","familiar","pretest","2","stims/audio/wheres_dog.wav","1","stims/images/dog.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","51002","0.0-11.0","p100","2","1","","","","","","1893.0000000000073","","","[""stims/images/echidna.png"",""stims/images/flamingo.png"",""stims/images/rabbit.png"",""stims/images/raccoon.png"",""stims/images/lynx.png"",""stims/images/dog.png"",""stims/images/aardvark.png"",""stims/images/tapir.png""]","tapir","stims/images/tapir.png","unfamiliar","pretest","2","","","","","","","","","","","","","","","","",""
