"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","4","0.0-0.0","p006","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","337","0.0-1.0","p006","1","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","50368","0.0-2.0","p006","1","0","","","","","","50030","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","54646","0.0-3.0","p006","1","0","","","","","","4276","","","[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/butterfly.png""]","wolf","stims/images/wolf.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","62472","0.0-4.0","p006","1","0","","","","","","68802.60533333334","","","[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/squirrel.png"",""stims/images/duck.png"",""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/butterfly.png""]","wolf","","familiar","practice_pretest","familiar","stims/audio/wheres_wolf.wav","6","stims/images/wolf.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","69735","0.0-5.0","p006","1","0","","","","","","7263","","","[""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","squirrel","stims/images/squirrel.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","76801","0.0-6.0","p006","1","0","","","","","","83117.52","","","[""stims/images/horse.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/duck.png"",""stims/images/wolf.png"",""stims/images/cat.png"",""stims/images/butterfly.png""]","squirrel","","familiar","practice_pretest","familiar","stims/audio/find_squirrel.wav","2","stims/images/squirrel.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","81516","0.0-7.0","p006","1","0","","","","","","4714","","","[""stims/images/nyala.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/zebra.png"",""stims/images/chameleon.png"",""stims/images/cormorant.png"",""stims/images/porcupine.png""]","elephant","stims/images/elephant.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","8","86247","0.0-8.0","p006","1","0","","","","","","92552.73866666667","","","[""stims/images/nyala.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/zebra.png"",""stims/images/chameleon.png"",""stims/images/cormorant.png"",""stims/images/porcupine.png""]","elephant","","familiar","pretest","1","stims/audio/find_elephant.wav","1","stims/images/elephant.png","1","","","","","","","","","","","","",""
"coact-test-prompt","9","89265","0.0-9.0","p006","1","0","","","","","","3017","","","[""stims/images/porcupine.png"",""stims/images/cormorant.png"",""stims/images/chameleon.png"",""stims/images/zebra.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/nyala.png"",""stims/images/elephant.png""]","flamingo","stims/images/flamingo.png","somewhat familiar","pretest","1","","","","","","","","","","","","","","","","",""
