"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","round_name","round_index","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","images","target","target_image","target_type","round_type","set","test_audio","choice","chosen_image","correct","choices","chosen_images","chosen_items","chosen_audio_items","first_choice_location","chosen_images_in_order","chosen_audio_in_order","chosen_items_in_order","condition","sample_num","chosen_index","chosen_audio","central_images"
"pavlovia","0","4","0.0-0.0","p048","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","364","0.0-1.0","p048","1","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","55274","0.0-2.0","p048","1","0","","","","","","54912.99999999997","","0","","","","","","","","","","","","","","","","","","","","","","",""
"coact-test-prompt","3","75223","0.0-3.0","p048","1","0","","","","","","19949","","","[""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/frog.png""]","cow","stims/images/cow.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","4","78423","0.0-4.0","p048","1","0","","","","","","262086.05333333334","","","[""stims/images/butterfly.png"",""stims/images/cow.png"",""stims/images/squirrel.png"",""stims/images/wolf.png"",""stims/images/horse.png"",""stims/images/cat.png"",""stims/images/duck.png"",""stims/images/frog.png""]","cow","","familiar","practice_pretest","familiar","stims/audio/find_cow.wav","1","stims/images/cow.png","1","","","","","","","","","","","","",""
"coact-test-prompt","5","81022","0.0-5.0","p048","1","0","","","","","","2597","","","[""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/duck.png""]","horse","stims/images/horse.png","familiar","practice_pretest","familiar","","","","","","","","","","","","","","","","",""
"coact-test","6","87940","0.0-6.0","p048","1","0","","","","","","271598.25866666675","","","[""stims/images/wolf.png"",""stims/images/squirrel.png"",""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/butterfly.png"",""stims/images/cat.png"",""stims/images/cow.png"",""stims/images/duck.png""]","horse","","familiar","practice_pretest","familiar","stims/audio/wheres_horse.wav","3","stims/images/horse.png","1","","","","","","","","","","","","",""
"coact-test-prompt","7","90416","0.0-7.0","p048","1","0","","","","","","2475","","","[""stims/images/koala.png"",""stims/images/pig.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/wombat.png"",""stims/images/cormorant.png""]","lynx","stims/images/lynx.png","somewhat unfamiliar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","8","99862","0.0-8.0","p048","1","0","","","","","","283511.86400000006","","","[""stims/images/koala.png"",""stims/images/pig.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/porcupine.png"",""stims/images/lynx.png"",""stims/images/wombat.png"",""stims/images/cormorant.png""]","lynx","","somewhat unfamiliar","pretest","1","stims/audio/wheres_lynx.wav","2","stims/images/rabbit.png","0","","","","","","","","","","","","",""
"coact-test-prompt","9","103080","0.0-9.0","p048","1","0","","","","","","3217","","","[""stims/images/koala.png"",""stims/images/cormorant.png"",""stims/images/pig.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/lynx.png"",""stims/images/wombat.png"",""stims/images/porcupine.png""]","rabbit","stims/images/rabbit.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","10","107686","0.0-10.0","p048","1","0","","","","","","291323.20266666665","","","[""stims/images/koala.png"",""stims/images/cormorant.png"",""stims/images/pig.png"",""stims/images/rabbit.png"",""stims/images/alpaca.png"",""stims/images/lynx.png"",""stims/images/wombat.png"",""stims/images/porcupine.png""]","rabbit","","familiar","pretest","1","stims/audio/find_rabbit.wav","3","stims/images/rabbit.png","1","","","","","","","","","","","","",""
"coact-test-prompt","11","111886","0.0-11.0","p048","1","0","","","","","","4199","","","[""stims/images/alpaca.png"",""stims/images/pig.png"",""stims/images/koala.png"",""stims/images/lynx.png"",""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/porcupine.png"",""stims/images/cormorant.png""]","pig","stims/images/pig.png","familiar","pretest","1","","","","","","","","","","","","","","","","",""
"coact-test","12","115622","0.0-12.0","p048","1","0","","","","","","299250.3946666667","","","[""stims/images/alpaca.png"",""stims/images/pig.png"",""stims/images/koala.png"",""stims/images/lynx.png"",""stims/images/rabbit.png"",""stims/images/wombat.png"",""stims/images/porcupine.png"",""stims/images/cormorant.png""]","pig","","familiar","pretest","1","stims/audio/wheres_pig.wav","1","stims/images/pig.png","1","","","","","","","","","","","","",""
