StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,study,subject_id,age,gender,l1,l1_percent,languages_additional,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_7_TEXT,dev_concerns,dev_concerns_details,education,education_8_TEXT,education_10_TEXT,country_origin,income
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please enter the study name (e.g., CoAct):",Please enter the participant ID:,How old is your child? (in years),What is your child's gender?,What is your child's first/ primary language(s)?,What percent of the time does your child hear their first / primary language(s)?,Please list any other language(s) your child hears on a regular basis.,"What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - White","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Black or African American","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Hispanic or Latino","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - American Indian or Alaska Native","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Asian","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Native Hawaiian or Other Pacific Islander","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Some other race or origin (please specify)","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Selected Choice - Prefer not to answer","What is your child’s race or origin? Please check one or more boxes, AND note any specific race(s) or origin(s). - Some other race or origin (please specify) - Text",Do you have any concerns about your child’s development?,"If you do have any concerns about your child's development, please explain:",What is your current level of education? - Selected Choice,What is your current level of education? - Other professional degree - please specify: - Text,What is your current level of education? - Other - please specify - Text,"In what country were you born? If your child has another parent or guardian, please also indicate where that person was born.",Which of the following best describes your total household income last year?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9"",""choiceId"":""1""}","{""ImportId"":""QID9"",""choiceId"":""2""}","{""ImportId"":""QID9"",""choiceId"":""3""}","{""ImportId"":""QID9"",""choiceId"":""4""}","{""ImportId"":""QID9"",""choiceId"":""5""}","{""ImportId"":""QID9"",""choiceId"":""6""}","{""ImportId"":""QID9"",""choiceId"":""7""}","{""ImportId"":""QID9"",""choiceId"":""8""}","{""ImportId"":""QID9_7_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_8_TEXT""}","{""ImportId"":""QID12_10_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}"
2022-07-25 01:50:31,2022-07-25 01:51:24,Survey Preview,*******,100,52,True,2022-07-25 01:51:25,R_1CstUBb1ycSiqZV,*******,*******,*******,*******,*******,*******,preview,EN,CoAct,test,test,test,test,test,test,,,,,Asian,,,,,No,dasd,Doctoral degree,,,asd,Prefer not to answer
2022-07-25 14:32:14,2022-07-25 14:33:29,IP Address,*******,100,74,True,2022-07-25 14:33:29,R_3gMcy2SGCWUOPcC,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p004,5,Female,English,90%,Spanish,White,,,,,,,,,No,,Other professional degree - please specify:,JD,,USA,"$200,000 or more"
2022-07-25 11:06:42,2022-07-25 11:06:58,IP Address,*******,14,15,False,2022-08-01 11:06:59,R_phnm1SoJRKH6vLz,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p004,,,,,,,,,,,,,,,,,,,,,
2022-09-20 11:38:28,2022-09-20 12:46:46,IP Address,*******,100,4097,True,2022-09-20 12:46:46,R_2tePeFzVtLBUMSc,*******,*******,*******,*******,*******,*******,anonymous,EN,Coact,test,,,,,,,,,,,,,,,,,,,,,
2022-09-20 12:46:21,2022-09-20 15:23:24,IP Address,*******,100,9423,True,2022-09-20 15:23:25,R_3fTVgF9kPW4Bzb6,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p005,5,Female,English,98,"Gujarati ",White,,,,Asian,,,,,No,,Doctoral degree,,,Usa,"$200,000 or more"
2022-09-24 11:05:48,2022-09-24 11:06:57,IP Address,*******,100,69,True,2022-09-24 11:06:57,R_2CDrkpxNnEhmcEa,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p006,e,Male,English,100,NA,White,,,,,,,,,No,,Master's degree,,,USA,"$200,000 or more"
2022-09-29 08:40:07,2022-09-29 08:41:37,IP Address,*******,100,90,True,2022-09-29 08:41:37,R_27Ih0oVBzGjycF2,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p007,4,Female,English,100%,None,White,,,,Asian,,,,,No,None,Bachelor's degree,,,"USA ","$150,000 to $199,999"
2022-09-29 09:04:33,2022-09-30 08:08:23,IP Address,*******,100,83029,True,2022-09-30 08:08:23,R_2wvLqW5J4QvssHI,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p008,3,Female,"English ",98%,"Mandarin ",,,,,Asian,,,,,No,,Doctoral degree,,,USA,"$200,000 or more"
2022-10-04 15:23:51,2022-10-04 15:26:03,IP Address,*******,100,131,True,2022-10-04 15:26:03,R_2YocnQHQUCCzZsB,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p009,5,Male,English,95%,Spanish,White,,,,,,,,,No,,Master's degree,,,USA (both parents),"$150,000 to $199,999"
2022-10-05 09:04:38,2022-10-05 09:06:35,IP Address,*******,100,117,True,2022-10-05 09:06:35,R_2zeV7fM6kjwZzvT,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p010,5,Girl,English,99%,"Spanish, ASL",White,,,,,,,,,No,,Master's degree,,,both parents born in the USA,"$100,000 to $149,999"
2022-10-05 10:22:41,2022-10-05 10:24:48,IP Address,*******,100,127,True,2022-10-05 10:24:48,R_cHgdQeHjFmOaNot,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p011,5,Male,English,80%,Portuguese,,,,,,,,Prefer not to answer,,No,,Bachelor's degree,,,"Unites States (mother), Brazil (father)",Prefer not to answer
2022-10-05 14:49:08,2022-10-05 14:49:43,IP Address,*******,100,35,True,2022-10-05 14:49:43,R_3GjhGkaqRa8p4Ux,*******,*******,*******,*******,*******,*******,anonymous,EN,coact,Test,,,,,,,,,,,,,,,,,,,,,
2022-10-05 16:08:46,2022-10-05 16:12:16,IP Address,*******,100,209,True,2022-10-05 16:12:16,R_3KU7h6uT5hziYuC,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p012,5,Male,English,Near 100%,,White,,,,,,,,,No,,Doctoral degree,,,USA,"$200,000 or more"
2022-10-06 08:47:01,2022-10-06 08:50:02,IP Address,*******,100,180,True,2022-10-06 08:50:02,R_2aJ5xLykcv1YVGp,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p013,4,M,English,98,Mandarin Chinese,White,,,,Asian,,,,,No,,Bachelor's degree,,,USA x2,"$150,000 to $199,999"
2022-10-07 13:13:21,2022-10-07 13:14:51,IP Address,*******,100,89,True,2022-10-07 13:14:51,R_27Qq3GePzN0wAJ4,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p014,4,Male,"English ",99,,White,,,,,,,,,No,,Some college/ university,,,"America ","$100,000 to $149,999"
2022-10-07 15:04:08,2022-10-07 15:05:17,IP Address,*******,100,68,True,2022-10-07 15:05:17,R_1Fsq1ivRXIdHelR,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p015,3,Male,English,100%,N/A,White,,,,,,,,,No,,Master's degree,,,USA for both,"$100,000 to $149,999"
2022-10-08 09:22:58,2022-10-08 09:30:54,IP Address,*******,100,475,True,2022-10-08 09:30:55,R_V4ikMNH4W1ge4et,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p016,4,Female,English,100%,N/A,White,,,,,,,,,Yes,"She was in early intervention. I had her evaluated for special education services but she didn’t qualify. ",Master's degree,,,USA,"$200,000 or more"
2022-10-10 12:22:16,2022-10-10 12:23:59,IP Address,*******,100,102,True,2022-10-10 12:24:00,R_2P82dc9qxd1Rh24,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p017,4,Male,Korean,40/100,English,,,,,Asian,,,,,No,,Doctoral degree,,,South Korea,"$150,000 to $199,999"
2022-10-12 13:01:19,2022-10-12 13:03:34,IP Address,*******,100,135,True,2022-10-12 13:03:34,R_2DOyUQRqQBc0Gck,*******,*******,*******,*******,*******,*******,anonymous,EN,coact,p018,3,Female,English,90%,Italian / Sicilian dialect,White,,,,,,,,,No,,Doctoral degree,,,USA,"$200,000 or more"
2022-10-12 15:37:29,2022-10-12 15:39:34,IP Address,*******,100,124,True,2022-10-12 15:39:34,R_3HHU6rPRJogaYV1,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p0189,Five years old,Female,English,99%,,White,,,,,,,,,No,,Doctoral degree,,,Both USA,"$150,000 to $199,999"
2022-10-13 08:01:36,2022-10-13 08:03:49,IP Address,*******,100,132,True,2022-10-13 08:03:49,R_31F6Pj8Ocu0n6tS,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p021,3,Female,English,98% except for when she’s with nonnative English speakers (children) in her daycare,,White,,,,,,,,,No,,Master's degree,,,"USA - both parents ","$200,000 or more"
2022-10-13 08:51:56,2022-10-13 08:54:32,IP Address,*******,100,155,True,2022-10-13 08:54:32,R_1ISjDuZtSHlBEuM,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p021,5,M,English,Almost all the time,Very little Chinese and Korean,,,,,Asian,,,,,No,,Bachelor's degree,,,USA,"$100,000 to $149,999"
2022-10-13 11:34:18,2022-10-13 11:36:03,IP Address,*******,100,104,True,2022-10-13 11:36:03,R_rqGTu0EUqhKgS7T,*******,*******,*******,*******,*******,*******,anonymous,EN,CoAct,p022,4,Boy,"English ",90%,"Spanish ",White,,Hispanic or Latino,,,,,,,No,,Bachelor's degree,,,USA,"$150,000 to $199,999"
2022-10-13 13:49:32,2022-10-13 13:51:45,IP Address,*******,100,133,True,2022-10-13 13:51:46,R_2B4eY1HmYtKJmRN,*******,*******,*******,*******,*******,*******,anonymous,EN,coAct,p023,3,"Female ","English ",100,None,White,,,,Asian,,,,,No,,Doctoral degree,,,Philippines,"$200,000 or more"
