trial_type,trial_index,time_elapsed,internal_node_id,subject_id,round_name,round_index,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,target,target_word,target_image,target_type,round_type,set,test_audio,choice,chosen_image,correct,correct_helper,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,condition,sample_num,chosen_index,chosen_audio,central_images,seed,condition_index,condition_order,condition_vector,condition_name,fam_stims,round_stims,fam_test_index,subject,cur_target,cur_target_image,cur_target_type,familiar_classification,image,source,editing_needed,good_pic,aoa,AoAtestbased,use.,notes,version1,X,X.1,X.2,aoa_adj,chosen_word,familiar_classification_grid,image_grid,source_grid,editing_needed_grid,good_pic_grid,aoa_grid,AoAtestbased_grid,use._grid,notes_grid,version1_grid,X_grid,X.1_grid,X.2_grid,aoa_adj_grid
coact-grid,24,112138,0.0-24.0,p004,1,0,NA,NA,NA,NA,NA,6780,NA,NA,"[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png""]",NA,NA,NA,NA,NA,familiar,NA,NA,NA,NA,NA,"[6,2]","[""stims/images/butterfly.png"",""stims/images/duck.png""]","[""butterfly"",""duck""]","[""stims/audio/thats_butterfly.wav"",""stims/audio/thats_duck.wav""]",left,"[""stims/images/butterfly.png"",""stims/images/duck.png""]","[""stims/audio/thats_butterfly.wav"",""stims/audio/thats_duck.wav""]","[""butterfly"",""duck""]",active,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coact-grid-choice,25,116770,0.0-25.0,p004,1,0,NA,NA,NA,NA,NA,4630,NA,NA,"[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png""]",NA,NA,NA,NA,NA,familiar,NA,NA,stims/images/duck.png,NA,NA,NA,NA,NA,NA,left,"[""stims/images/butterfly.png"",""stims/images/duck.png""]","[""stims/audio/thats_butterfly.wav"",""stims/audio/thats_duck.wav""]","[""butterfly"",""duck""]",active,0,1,stims/audio/thats_duck.wav,"[""stims/images/butterfly.png"",""stims/images/duck.png""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,duck,familiar,duck.png,MEM,n,,3.5,2,,,fam,NA,8,familiar_exp,3.5
coact-grid-choice-audio,26,119782,0.0-26.0,p004,1,0,NA,NA,NA,NA,NA,3003,NA,NA,"[""stims/images/frog.png"",""stims/images/horse.png"",""stims/images/duck.png"",""stims/images/squirrel.png"",""stims/images/cow.png"",""stims/images/wolf.png"",""stims/images/butterfly.png"",""stims/images/cat.png""]",NA,NA,NA,NA,NA,familiar,NA,NA,stims/images/duck.png,NA,NA,NA,NA,NA,NA,left,NA,NA,NA,active,0,NA,stims/audio/thats_duck.wav,"[""stims/images/butterfly.png"",""stims/images/duck.png""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,duck,familiar,duck.png,MEM,n,,3.5,2,,,fam,NA,8,familiar_exp,3.5
coact-grid,27,125846,0.0-27.0,p004,1,0,NA,NA,NA,NA,NA,4756,NA,NA,"[""stims/images/zebra.png"",""stims/images/elephant.png"",""stims/images/chameleon.png"",""stims/images/nyala.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png"",""stims/images/porcupine.png""]",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"[7,4]","[""stims/images/porcupine.png"",""stims/images/lynx.png""]","[""porcupine"",""lynx""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_lynx.wav""]",left,"[""stims/images/porcupine.png"",""stims/images/lynx.png""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_lynx.wav""]","[""porcupine"",""lynx""]",active,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coact-grid-choice,28,128560,0.0-28.0,p004,1,0,NA,NA,NA,NA,NA,2712.999999999942,NA,NA,"[""stims/images/zebra.png"",""stims/images/elephant.png"",""stims/images/chameleon.png"",""stims/images/nyala.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png"",""stims/images/porcupine.png""]",NA,NA,NA,NA,NA,1,NA,NA,stims/images/porcupine.png,NA,NA,NA,NA,NA,NA,left,"[""stims/images/porcupine.png"",""stims/images/lynx.png""]","[""stims/audio/thats_porcupine.wav"",""stims/audio/thats_lynx.wav""]","[""porcupine"",""lynx""]",active,0,0,stims/audio/thats_porcupine.wav,"[""stims/images/porcupine.png"",""stims/images/lynx.png""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,porcupine,somewhat_familiar,porcupine.png,BOSS,n,,6.89,6,,,y,NA,NA,,6.89
coact-grid-choice-audio,29,131568,0.0-29.0,p004,1,0,NA,NA,NA,NA,NA,3000,NA,NA,"[""stims/images/zebra.png"",""stims/images/elephant.png"",""stims/images/chameleon.png"",""stims/images/nyala.png"",""stims/images/lynx.png"",""stims/images/flamingo.png"",""stims/images/cormorant.png"",""stims/images/porcupine.png""]",NA,NA,NA,NA,NA,1,NA,NA,stims/images/porcupine.png,NA,NA,NA,NA,NA,NA,left,NA,NA,NA,active,0,NA,stims/audio/thats_porcupine.wav,"[""stims/images/porcupine.png"",""stims/images/lynx.png""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,porcupine,somewhat_familiar,porcupine.png,BOSS,n,,6.89,6,,,y,NA,NA,,6.89
coact-grid,30,139636,0.0-30.0,p004,1,0,NA,NA,NA,NA,NA,6761,NA,NA,"[""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/zebra.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/flamingo.png"",""stims/images/nyala.png""]",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"[7,0]","[""stims/images/nyala.png"",""stims/images/cormorant.png""]","[""nyala"",""cormorant""]","[""stims/audio/thats_nyala.wav"",""stims/audio/thats_cormorant.wav""]",right,"[""stims/images/cormorant.png"",""stims/images/nyala.png""]","[""stims/audio/thats_cormorant.wav"",""stims/audio/thats_nyala.wav""]","[""cormorant"",""nyala""]",active,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coact-grid-choice,31,140933,0.0-31.0,p004,1,0,NA,NA,NA,NA,NA,1297,NA,NA,"[""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/zebra.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/flamingo.png"",""stims/images/nyala.png""]",NA,NA,NA,NA,NA,1,NA,NA,stims/images/cormorant.png,NA,NA,NA,NA,NA,NA,right,"[""stims/images/cormorant.png"",""stims/images/nyala.png""]","[""stims/audio/thats_cormorant.wav"",""stims/audio/thats_nyala.wav""]","[""cormorant"",""nyala""]",active,1,1,stims/audio/thats_nyala.wav,"[""stims/images/nyala.png"",""stims/images/cormorant.png""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nyala,unfamiliar,nyala.png,BOSS,n,,NA,NA,,,y,NA,NA,,14.22
coact-grid-choice-audio,32,143942,0.0-32.0,p004,1,0,NA,NA,NA,NA,NA,3000,NA,NA,"[""stims/images/cormorant.png"",""stims/images/elephant.png"",""stims/images/lynx.png"",""stims/images/zebra.png"",""stims/images/chameleon.png"",""stims/images/porcupine.png"",""stims/images/flamingo.png"",""stims/images/nyala.png""]",NA,NA,NA,NA,NA,1,NA,NA,stims/images/cormorant.png,NA,NA,NA,NA,NA,NA,right,NA,NA,NA,active,1,NA,stims/audio/thats_nyala.wav,"[""stims/images/nyala.png"",""stims/images/cormorant.png""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nyala,unfamiliar,nyala.png,BOSS,n,,NA,NA,,,y,NA,NA,,14.22
coact-grid,33,150433,0.0-33.0,p004,1,0,NA,NA,NA,NA,NA,5184,NA,NA,"[""stims/images/porcupine.png"",""stims/images/zebra.png"",""stims/images/flamingo.png"",""stims/images/elephant.png"",""stims/images/chameleon.png"",""stims/images/nyala.png"",""stims/images/lynx.png"",""stims/images/cormorant.png""]",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"[7,6]","[""stims/images/cormorant.png"",""stims/images/lynx.png""]","[""cormorant"",""lynx""]","[""stims/audio/thats_cormorant.wav"",""stims/audio/thats_lynx.wav""]",left,"[""stims/images/cormorant.png"",""stims/images/lynx.png""]","[""stims/audio/thats_cormorant.wav"",""stims/audio/thats_lynx.wav""]","[""cormorant"",""lynx""]",active,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
